1:1|After Ahab’s death, Moab rebelled against Israel.|Retains the immediate political consequence.
14:13|At Beth-shemesh, Jehoash king of Israel captured Amaziah king of Judah, son of Jehoash, son of Ahaziah. He came to Jerusalem and broke down four hundred cubits of its wall, from the Ephraim Gate to the Corner Gate.|Retain the lineage, gates, and ancient measurement.
14:14|He took all the gold and silver, all the utensils found in the LORD’s house and in the palace treasuries, and hostages. Then he returned to Samaria.|Keep hostages distinct from the plunder.
14:15|The rest of Jehoash’s acts, his might, and his war with Amaziah king of Judah are written in the annals of the kings of Israel.|Preserve the specific war in the source notice.
14:16|Jehoash rested with his ancestors and was buried in Samaria with the kings of Israel. His son Jeroboam became king in his place.|Keep burial and succession.
14:17|Amaziah son of Joash, king of Judah, lived fifteen years after the death of Jehoash son of Jehoahaz, king of Israel.|Retain the relative chronology without calculating an unsupported date.
14:18|The rest of Amaziah’s acts are written in the annals of the kings of Judah.|Keep the shorter source notice.
14:19|A conspiracy formed against him in Jerusalem, and he fled to Lachish. They sent men after him to Lachish and killed him there.|Keep the pursuit and repeated refuge location.
14:20|They brought him back on horses, and he was buried in Jerusalem with his ancestors in the City of David.|Retain transport by horses and burial location.
14:21|All the people of Judah took Azariah, who was sixteen years old, and made him king in place of his father Amaziah.|Preserve the people’s agency and the young king’s age.
14:22|He rebuilt Elath and restored it to Judah after the king had rested with his ancestors.|Retain the temporal notice without inserting a regnal calculation.
14:23|In the fifteenth year of Amaziah son of Joash, king of Judah, Jeroboam son of Joash became king of Israel in Samaria. He reigned for forty-one years.|Keep the accession year and lengthy reign.
14:24|He did what was evil in the LORD’s eyes. He did not turn away from any of the sins of Jeroboam son of Nebat, which he had caused Israel to commit.|Distinguish this Jeroboam from his earlier namesake by patronymic.
14:25|He restored Israel’s border from Lebo-hamath to the Sea of the Arabah, according to the word of the LORD, the God of Israel, spoken through his servant Jonah son of Amittai, the prophet from Gath-hepher.|Preserve the borders and Jonah’s full identification.
14:26|For the LORD saw that Israel’s suffering was very bitter. There was no one left, bound or free, and no one to help Israel.|Keep the paired social expression and absence of help.
14:27|The LORD had not said that he would blot out Israel’s name from under heaven. So he saved them through Jeroboam son of Joash.|Preserve rescue through a negatively evaluated king.
14:28|The rest of Jeroboam’s acts, everything he did, his military might, and how he recovered for Israel Damascus and Hamath, which had belonged to Judah, are written in the annals of the kings of Israel.|Keep the difficult Judah/Israel clause and its uncertainty noted; place the relative clause next to Damascus and Hamath to avoid assigning it to Israel.
14:29|Jeroboam rested with his ancestors, with the kings of Israel. His son Zechariah became king in his place.|Keep the dynastic succession without adding a burial location.
15:1|In the twenty-seventh year of Jeroboam king of Israel, Azariah son of Amaziah became king of Judah.|Retain the source’s synchronism.
15:2|He was sixteen years old when he became king, and he reigned in Jerusalem for fifty-two years. His mother’s name was Jecoliah, from Jerusalem.|Keep age, duration, and maternal identity.
15:3|He did what was right in the LORD’s eyes, just as his father Amaziah had done.|Retain the limited ancestral comparison.
15:4|Yet the high places were not removed. The people still sacrificed and burned offerings there.|Maintain the recurring high-place refrain.
15:5|The LORD struck the king with a skin disease that lasted until his death. He lived in a separate house, while Jotham the king’s son managed the palace and governed the people of the land.|Preserve divine agency without importing Chronicles’ explanation.
15:6|The rest of Azariah’s acts and everything he did are written in the annals of the kings of Judah.|Keep the source notice.
15:7|Azariah rested with his ancestors, and they buried him with them in the City of David. His son Jotham became king in his place.|Retain the burial account as Kings gives it.
15:8|In the thirty-eighth year of Azariah king of Judah, Zechariah son of Jeroboam became king over Israel in Samaria. He reigned for six months.|Keep the short reign and accession year.
15:9|He did what was evil in the LORD’s eyes, as his ancestors had done. He did not turn away from the sins of Jeroboam son of Nebat, which he had caused Israel to commit.|Preserve the recurring judgment.
15:10|Shallum son of Jabesh conspired against him, struck him down in front of the people, killed him, and became king in his place.|Render the difficult public-location phrase without inventing a place name.
15:11|The rest of Zechariah’s acts are written in the annals of the kings of Israel.|Keep the concise record notice.
15:12|This fulfilled the LORD’s word to Jehu: “Your sons will sit on Israel’s throne to the fourth generation.” And so it happened.|Repeat the exact generation promise from 10:30.
15:13|Shallum son of Jabesh became king in the thirty-ninth year of Uzziah king of Judah. He reigned in Samaria for one month.|Retain the source’s alternate name Uzziah and one-month reign.
15:14|Menahem son of Gadi came up from Tirzah to Samaria, struck down Shallum son of Jabesh there, killed him, and became king in his place.|Keep the origin and sequence of the coup.
15:15|The rest of Shallum’s acts and the conspiracy he formed are written in the annals of the kings of Israel.|Retain the conspiracy in the notice.
15:16|Then Menahem attacked Tiphsah, everyone in it, and its surrounding territory, setting out from Tirzah. Because it had not opened its gates to him, he struck it and ripped open all its pregnant women.|Preserve Tiphsah and the atrocity without emendation or euphemism.
15:17|In the thirty-ninth year of Azariah king of Judah, Menahem son of Gadi became king over Israel. He reigned in Samaria for ten years.|Retain both chronological figures.
15:18|He did what was evil in the LORD’s eyes. Throughout his life he did not turn away from the sins of Jeroboam son of Nebat, which he had caused Israel to commit.|Keep the lifetime qualification.
15:19|Pul king of Assyria invaded the land. Menahem gave Pul a thousand talents of silver to gain his support and secure the kingdom in his own hands.|Retain the source’s royal name and payment amount.
15:20|Menahem raised the money from Israel, requiring each wealthy man to pay fifty shekels of silver for the king of Assyria. Then Assyria’s king withdrew and did not stay in the land.|Preserve the individual levy and withdrawal.
15:21|The rest of Menahem’s acts and everything he did are written in the annals of the kings of Israel.|Keep the source notice.
15:22|Menahem rested with his ancestors. His son Pekahiah became king in his place.|Retain succession without adding a burial place.
15:23|In the fiftieth year of Azariah king of Judah, Pekahiah son of Menahem became king over Israel in Samaria. He reigned for two years.|Keep the synchronism and two-year reign.
15:24|He did what was evil in the LORD’s eyes. He did not turn away from the sins of Jeroboam son of Nebat, which he had caused Israel to commit.|Maintain the repeated evaluation.
15:25|His officer Pekah son of Remaliah conspired against him. With fifty men of Gilead, he struck him down in the citadel of the palace in Samaria, along with Argob and Arieh. He killed him and became king in his place.|Retain both otherwise unexplained names and the fifty supporters.
15:26|The rest of Pekahiah’s acts and everything he did are written in the annals of the kings of Israel.|Keep the record notice.
15:27|In the fifty-second year of Azariah king of Judah, Pekah son of Remaliah became king over Israel in Samaria. He reigned for twenty years.|Retain the source’s twenty-year duration.
15:28|He did what was evil in the LORD’s eyes. He did not turn away from the sins of Jeroboam son of Nebat, which he had caused Israel to commit.|Keep the familiar judgment language.
15:29|In the days of Pekah king of Israel, Tiglath-pileser king of Assyria came and captured Ijon, Abel-beth-maacah, Janoah, Kedesh, Hazor, Gilead, and Galilee—all the land of Naphtali. He deported the people to Assyria.|Preserve every conquered place and forced displacement.
15:30|Hoshea son of Elah formed a conspiracy against Pekah son of Remaliah, struck him down, killed him, and became king in his place, in the twentieth year of Jotham son of Uzziah.|Keep twentieth year despite Jotham’s sixteen-year reign notice.
15:31|The rest of Pekah’s acts and everything he did are written in the annals of the kings of Israel.|Retain the source notice.
15:32|In the second year of Pekah son of Remaliah, king of Israel, Jotham son of Uzziah became king of Judah.|Keep both kings and the accession year.
15:33|He was twenty-five years old when he became king, and he reigned in Jerusalem for sixteen years. His mother’s name was Jerusha, daughter of Zadok.|Retain age, duration, and maternal grandfather.
15:34|He did what was right in the LORD’s eyes, doing everything as his father Uzziah had done.|Keep the father comparison without generalizing it.
15:35|Yet the high places were not removed. The people still sacrificed and burned offerings there. He built the Upper Gate of the LORD’s house.|Retain both cultic qualification and building achievement.
15:36|The rest of Jotham’s acts are written in the annals of the kings of Judah.|Keep the source notice.
15:37|In those days the LORD began sending Rezin king of Aram and Pekah son of Remaliah against Judah.|Preserve divine agency in the approaching invasion.
15:38|Jotham rested with his ancestors and was buried with them in the City of David his ancestor. His son Ahaz became king in his place.|Clarify David’s ancestral relationship.
16:1|In the seventeenth year of Pekah son of Remaliah, Ahaz son of Jotham became king of Judah.|Retain the regnal synchronism.
16:2|Ahaz was twenty years old when he became king, and he reigned in Jerusalem for sixteen years. He did not do what was right in the eyes of the LORD his God, as his ancestor David had done.|Keep age and duration beside the adverse comparison.
16:3|He followed the way of Israel’s kings. He even made his son pass through the fire, following the abhorrent practices of the nations the LORD had driven out before the Israelites.|Preserve the fire rite and its seriousness; explain sacrificial context in a note.
16:4|He sacrificed and burned offerings at the high places, on the hills, and under every leafy tree.|Keep all three settings.
16:5|Then Rezin king of Aram and Pekah son of Remaliah, king of Israel, came up to wage war on Jerusalem. They besieged Ahaz but could not overcome him.|Retain the unsuccessful joint siege.
16:6|At that time Rezin king of Aram recovered Elath for Aram and drove the Judeans out of Elath. Edomites came to Elath and have lived there to this day.|Keep Aram in the main text and Edomites from the read variant without harmonizing them.
16:7|Ahaz sent messengers to Tiglath-pileser king of Assyria: “I am your servant and your son. Come up and save me from the king of Aram and the king of Israel, who are attacking me.”|Preserve the submissive servant-and-son address.
16:8|Ahaz took the silver and gold found in the LORD’s house and the palace treasuries and sent them as a bribe to the king of Assyria.|Retain the source’s morally charged bribe term.
16:9|The king of Assyria listened to him. He marched against Damascus, captured it, deported its people to Kir, and killed Rezin.|Keep the destination of deportation and royal killing.
16:10|King Ahaz went to Damascus to meet Tiglath-pileser king of Assyria. When he saw the altar in Damascus, he sent Uriah the priest a likeness of the altar and detailed plans for its construction.|Retain both visual likeness and construction pattern.
16:11|Uriah the priest built the altar according to everything King Ahaz had sent from Damascus. He finished it before King Ahaz returned.|Keep the priest’s compliance and deadline.
16:12|When the king returned from Damascus and saw the altar, he approached it and offered on it.|Retain royal participation without specifying an unmentioned offering here.
16:13|He burned his burnt offering and grain offering, poured out his drink offering, and dashed the blood of his well-being offerings against the altar.|Preserve all four offering categories and blood action.
16:14|He moved the bronze altar that stood before the LORD from the front of the house, from between the new altar and the LORD’s house, and put it on the north side of the new altar.|Make the two altars distinguishable while retaining the layout change.
16:15|King Ahaz commanded Uriah the priest, “On the large altar burn the morning burnt offering, the evening grain offering, the king’s burnt offering and grain offering, and the burnt offerings, grain offerings, and drink offerings of all the people of the land. Dash against it all the blood from burnt offerings and sacrifices. The bronze altar will be for me to inquire by.”|Retain the full schedule and the consequential ambiguous purpose of the old altar.
16:16|Uriah the priest did everything King Ahaz commanded.|Preserve the unqualified compliance statement.
16:17|King Ahaz cut away the side panels of the stands and removed the basins from them. He took the Sea down from the bronze oxen beneath it and set it on a stone pavement.|Retain the temple furnishings’ concrete dismantling.
16:18|Because of the king of Assyria, he altered the covered Sabbath passage built at the house and the king’s outer entrance to the LORD’s house.|Keep the stated political cause while noting uncertainty in the architectural wording.
16:19|The rest of Ahaz’s acts are written in the annals of the kings of Judah.|Retain the source notice.
16:20|Ahaz rested with his ancestors and was buried with them in the City of David. His son Hezekiah became king in his place.|Keep the burial and succession as Kings reports them.
17:1|In the twelfth year of Ahaz king of Judah, Hoshea son of Elah became king over Israel in Samaria. He reigned for nine years.|Keep the accession year and final northern reign’s duration.
17:2|He did what was evil in the LORD’s eyes, though not like the kings of Israel before him.|Preserve the unusual qualification of the adverse judgment.
17:3|Shalmaneser king of Assyria marched against him. Hoshea became his servant and paid him tribute.|Retain the vassal relationship and payment.
17:4|But Assyria’s king discovered a conspiracy in Hoshea: he had sent messengers to So king of Egypt and had stopped paying his yearly tribute to Assyria. So Assyria’s king arrested him and confined him in prison.|Keep So without unsupported historical identification and retain both grounds for arrest.
17:5|The king of Assyria invaded the whole land, advanced on Samaria, and besieged it for three years.|Retain the extent and duration of the attack.
17:6|In Hoshea’s ninth year, the king of Assyria captured Samaria and deported Israel to Assyria. He settled them in Halah, along the Habor, the river of Gozan, and in the cities of Media.|Keep the king unnamed here and preserve all exile destinations.
17:7|This happened because the Israelites had sinned against the LORD their God, who had brought them up from Egypt, out from under the power of Pharaoh king of Egypt. They had feared other gods|Retain the narrator’s causal explanation and exodus foundation.
17:8|and followed the practices of the nations the LORD had driven out before them, as well as those introduced by Israel’s kings.|Keep both foreign and royal sources of the practices.
17:9|The Israelites secretly did things against the LORD their God that were not right. They built high places in all their settlements, from watchtower to fortified city.|Preserve the secrecy reading and the settlement-range image.
17:10|They set up sacred pillars and Asherah poles on every high hill and under every leafy tree.|Keep the recurring cult objects and locations.
17:11|At every high place they burned offerings, like the nations the LORD had driven away before them. They did evil things that provoked the LORD to anger.|Preserve the comparison and provocation.
17:12|They served idols, though the LORD had told them, “You must not do this.”|Retain the direct prohibition.
17:13|The LORD warned Israel and Judah through every prophet and seer: “Turn from your evil ways. Keep my commandments and decrees, following all the instruction I commanded your ancestors and sent to you through my servants the prophets.”|Keep both kingdoms, prophetic titles, and the repeated transmission of instruction.
17:14|But they would not listen. They stiffened their necks like their ancestors, who had not trusted the LORD their God.|Preserve the bodily image and link to trust.
17:15|They rejected his decrees, the covenant he had made with their ancestors, and the warnings he had given them. They followed what was empty and became empty themselves. They followed the surrounding nations, though the LORD had commanded them not to act as those nations did.|Retain the emptiness wordplay and all rejected obligations.
17:16|They abandoned all the commandments of the LORD their God. They made two cast-metal calves and an Asherah, bowed to all the army of heaven, and served Baal.|Keep the count, material, and heavenly-army image.
17:17|They made their sons and daughters pass through the fire, practiced divination and read omens, and sold themselves to do what was evil in the LORD’s eyes, provoking him to anger.|Preserve both genders and the self-sale image.
17:18|The LORD was very angry with Israel and removed them from his presence. Only the tribe of Judah remained.|Keep the narrator’s totalizing statement without historical correction.
17:19|But Judah too failed to keep the commandments of the LORD their God. They followed the practices Israel had introduced.|Retain the immediate qualification concerning Judah.
17:20|The LORD rejected all Israel’s descendants, afflicted them, and handed them over to plunderers until he cast them out of his presence.|Preserve the sequence and repeated presence language.
17:21|When he tore Israel away from David’s house, they made Jeroboam son of Nebat king. Jeroboam drove Israel away from following the LORD and led them into great sin.|Keep divine tearing and Jeroboam’s subsequent agency distinct.
17:22|The Israelites followed all the sins Jeroboam committed and did not turn away from them,|Retain continuation into the next verse.
17:23|until the LORD removed Israel from his presence, as he had said through all his servants the prophets. Israel was deported from its own land to Assyria, where they remain to this day.|Keep the prophetic warning’s fulfillment and narrator’s time horizon.
17:24|The king of Assyria brought people from Babylon, Cuthah, Avva, Hamath, and Sepharvaim and settled them in Samaria’s towns in place of the Israelites. They took possession of Samaria and lived in its towns.|Preserve all five origins and the imposed resettlement.
17:25|When they first settled there, they did not fear the LORD. So the LORD sent lions among them, and the lions killed some of them.|Retain divine agency and actual deaths.
17:26|The king of Assyria was told, “The nations you deported and settled in Samaria’s towns do not know the requirements of the god of the land. He has sent lions among them, and the lions are killing them because they do not know the requirements of the god of the land.”|Keep the repeated explanation inside the reported speech.
17:27|The king of Assyria commanded, “Send back one of the priests you deported from there. Let them go and settle there, and let him teach them the requirements of the god of the land.”|Preserve the source’s plural departure with singular teaching priest.
17:28|So one of the priests deported from Samaria came and settled in Bethel. He taught them how to fear the LORD.|Keep Bethel as the teaching location without editorial correction.
17:29|Yet each nation made its own gods and put them in the shrines at the high places the people of Samaria had built, each nation in the towns where it lived.|Retain the repeated nation-by-nation arrangement.
17:30|The people of Babylon made Succoth-benoth; the people of Cuth made Nergal; the people of Hamath made Ashima.|Preserve all three people-deity pairings.
17:31|The Avvites made Nibhaz and Tartak. The Sepharvites burned their children in the fire to Adrammelech and Anammelech, the gods of Sepharvaim.|Keep the named gods and explicit child burning.
17:32|They also feared the LORD and appointed people from among themselves as priests of the high places, who served for them in those shrines.|Keep the mixed worship description without inserting truly or supposedly.
17:33|They feared the LORD, yet served their own gods according to the customs of the nations from which they had been deported.|Preserve both predicates despite the next verse’s contrasting assessment.
17:34|To this day they continue their former practices. They do not fear the LORD or follow the decrees, judgments, instruction, and commandment the LORD gave the descendants of Jacob, whom he named Israel.|Retain the shift in evaluation rather than smoothing away the tension.
17:35|The LORD made a covenant with them and commanded them, “You must not fear other gods, bow to them, serve them, or sacrifice to them.|Preserve the four prohibited acts.
17:36|You must fear the LORD, who brought you up from Egypt with great power and an outstretched arm. Bow to him and sacrifice to him.|Keep the exodus and bodily image.
17:37|Always be careful to carry out the decrees, judgments, instruction, and commandment he wrote for you. Do not fear other gods.|Retain the full instruction list and repeated prohibition.
17:38|Do not forget the covenant I made with you. Do not fear other gods.|Keep the first-person shift and repetition.
17:39|Fear the LORD your God, and he will rescue you from the hands of all your enemies.”|Retain the promise’s scope.
17:40|But they would not listen. They continued their former practices.|Keep the refusal and ongoing behavior.
17:41|So these nations feared the LORD while also serving their carved images. Their children and grandchildren still do as their ancestors did, to this day.|Preserve the closing mixed-worship description and generational continuity.
18:1|In the third year of Hoshea son of Elah, king of Israel, Hezekiah son of Ahaz became king of Judah.|Retain the synchronism.
18:2|He was twenty-five years old when he became king, and he reigned in Jerusalem for twenty-nine years. His mother’s name was Abi, daughter of Zechariah.|Keep the source’s shorter maternal name and both numerical notices.
18:3|He did what was right in the LORD’s eyes, just as his ancestor David had done.|Retain the unqualified David comparison.
18:4|He removed the high places, smashed the sacred pillars, and cut down the Asherah. He broke up the bronze serpent Moses had made, because until then the Israelites had been burning offerings to it. It was called Nehushtan.|Keep the Mosaic object’s destruction and its stated cause; note the naming subject’s ambiguity.
18:5|He trusted in the LORD, the God of Israel. None of Judah’s kings after him was like him, nor any of those before him.|Preserve the exceptional claim in its trust context.
18:6|He held fast to the LORD and did not stop following him. He kept the commandments the LORD had given Moses.|Retain holding fast and Mosaic instruction.
18:7|The LORD was with him, and he succeeded wherever he went. He rebelled against the king of Assyria and refused to serve him.|Keep success and rebellion together without adding an endorsement formula.
18:8|He struck the Philistines as far as Gaza and its territory, from watchtower to fortified city.|Repeat the territorial range image.
18:9|In King Hezekiah’s fourth year, which was the seventh year of Hoshea son of Elah, king of Israel, Shalmaneser king of Assyria advanced on Samaria and besieged it.|Keep both synchronized year counts.
18:10|They captured it at the end of three years. Samaria fell in Hezekiah’s sixth year, which was Hoshea king of Israel’s ninth year.|Retain inclusive chronology as stated.
18:11|The king of Assyria deported Israel to Assyria and settled them in Halah, along the Habor, the river of Gozan, and in the cities of Media.|Repeat the exile destinations consistently with 17:6.
18:12|This was because they had not listened to the LORD their God but had broken his covenant—everything Moses the LORD’s servant commanded. They neither listened nor acted.|Preserve the doubled failure to hear and do.
18:13|In King Hezekiah’s fourteenth year, Sennacherib king of Assyria attacked all Judah’s fortified cities and captured them.|Keep the named invading king and scope.
18:14|Hezekiah king of Judah sent word to the king of Assyria at Lachish: “I have done wrong. Withdraw from me, and I will bear whatever you impose.” Assyria’s king imposed on Hezekiah king of Judah three hundred talents of silver and thirty talents of gold.|Retain the submission and both tribute amounts.
18:15|Hezekiah gave him all the silver found in the LORD’s house and the palace treasuries.|Keep both sources of silver.
18:16|At that time Hezekiah stripped the doors of the LORD’s temple and the doorposts he had overlaid with gold, and gave the gold to the king of Assyria.|Make the removed overlay intelligible without suggesting the doors themselves were shipped.
18:17|The king of Assyria sent the Tartan, the Rab-saris, and the Rab-shakeh from Lachish with a large army to King Hezekiah at Jerusalem. They came up to Jerusalem and took their stand by the channel of the upper pool, on the road to the Washer’s Field.|Retain the three official titles with vocabulary support and the precise setting.
18:18|They called for the king. Eliakim son of Hilkiah, the palace administrator, Shebnah the secretary, and Joah son of Asaph, the recorder, came out to them.|Keep the three Judean officials and roles.
18:19|The Rab-shakeh said to them, “Tell Hezekiah: ‘This is what the great king, the king of Assyria, says: What is this confidence you have?|Preserve the imperial title and recurring confidence theme.
18:20|You say you have strategy and strength for war—but that is only talk. On whom are you relying, that you have rebelled against me?|Keep the challenge as the Assyrian king’s speech.
18:21|Look! You are relying on Egypt, that splintered reed of a staff. If anyone leans on it, it pierces his hand. That is what Pharaoh king of Egypt is like for everyone who relies on him.|Preserve the full injury image.
18:22|But if you tell me, “We rely on the LORD our God,” isn’t he the one whose high places and altars Hezekiah removed, telling Judah and Jerusalem, “You must bow before this altar in Jerusalem”?|Keep the envoy’s interpretation of the reform distinct from the narrator’s.
18:23|Now make a wager with my master, the king of Assyria. I will give you two thousand horses—if you can find riders for them!|Retain the numerical taunt and condition.
18:24|How could you turn back even one governor, one of my master’s least servants, when you rely on Egypt for chariots and horsemen?|Keep the comparison of military weakness.
18:25|And have I come to destroy this place without the LORD? The LORD told me, “Go up against this land and destroy it.”’”|Preserve the claimed divine commission as speech without confirming it.
18:26|Eliakim son of Hilkiah, Shebnah, and Joah said to the Rab-shakeh, “Please speak to your servants in Aramaic; we understand it. Don’t speak to us in Judean within hearing of the people on the wall.”|Retain the two language names and reason for the request.
18:27|But the Rab-shakeh answered, “Did my master send me to say these things only to your master and you? Didn’t he send me to the men sitting on the wall, who will have to eat their own excrement and drink their own urine along with you?”|Keep the bodily siege threat without euphemizing its substance.
18:28|Then the Rab-shakeh stood and shouted in Judean, “Hear the word of the great king, the king of Assyria!|Retain the deliberate public-language choice.
18:29|This is what the king says: Don’t let Hezekiah deceive you. He cannot rescue you from the king’s hand.|Clarify the third-person royal referent without changing the threat.
18:30|Don’t let Hezekiah make you rely on the LORD by saying, ‘The LORD will certainly rescue us. This city will not be handed over to the king of Assyria.’|Preserve the repeated trust-and-rescue challenge.
18:31|Don’t listen to Hezekiah. This is what the king of Assyria says: Make peace with me and come out to me. Then each of you can eat from your own vine and fig tree and drink water from your own cistern,|Keep the concrete promise of familiar prosperity.
18:32|until I come and take you to a land like your own—a land of grain and new wine, bread and vineyards, olive oil and honey. Live, and do not die! Don’t listen to Hezekiah when he misleads you by saying, ‘The LORD will rescue us.’|Retain deportation beneath the appealing land description and all produce categories.
18:33|Have any of the nations’ gods rescued their lands from the king of Assyria’s hand?|Keep the rhetorical comparison.
18:34|Where are the gods of Hamath and Arpad? Where are the gods of Sepharvaim, Hena, and Ivvah? Have they rescued Samaria from my hand?|Retain every place without replacing the difficult last comparison.
18:35|Which of all the gods of these lands has rescued its land from my hand? How, then, could the LORD rescue Jerusalem from my hand?”|Repeat hand and rescue to preserve the speech’s climax.
18:36|The people were silent and did not answer him a word, for the king had commanded, “Do not answer him.”|Keep silence as obedience to the king’s order.
18:37|Eliakim son of Hilkiah, the palace administrator, Shebna the secretary, and Joah son of Asaph, the recorder, came to Hezekiah with their clothes torn and reported the Rab-shakeh’s words.|Retain the grief gesture and full reporting delegation.
19:1|When King Hezekiah heard this, he tore his clothes, covered himself with sackcloth, and went into the LORD’s house.|Keep the three grief-and-petition actions.
19:2|He sent Eliakim the palace administrator, Shebna the secretary, and the senior priests, all covered with sackcloth, to the prophet Isaiah son of Amoz.|Preserve the delegation and full prophetic identity.
19:3|They said to him, “This is what Hezekiah says: Today is a day of distress, rebuke, and disgrace. Children have reached the opening of the womb, but there is no strength to give birth.|Retain the dangerous childbirth image without replacing it with a general crisis.
19:4|Perhaps the LORD your God will hear all the words of the Rab-shakeh, whom his master the king of Assyria sent to mock the living God, and will rebuke him for the words the LORD your God has heard. Lift up a prayer for the remnant still here.”|Keep perhaps, living God, and the request for the remnant.
19:5|When King Hezekiah’s servants came to Isaiah,|Keep the narrative resumption.
19:6|Isaiah said to them, “Tell your master: This is what the LORD says: Do not be afraid of the words you have heard, with which the king of Assyria’s servants have insulted me.|Retain the direct divine response to the insult.
19:7|I am going to put a spirit in him, so that he will hear a report and return to his own land. There I will make him fall by the sword.”|Keep spirit without specifying psychology or an angelic being.
19:8|The Rab-shakeh returned and found the king of Assyria fighting against Libnah, for he had heard that the king had left Lachish.|Preserve the change of siege location.
19:9|The king heard this report about Tirhakah king of Cush: “He has come out to fight you.” So he again sent messengers to Hezekiah, saying,|Retain the report and renewed message without harmonizing royal chronology.
19:10|“Tell Hezekiah king of Judah: Do not let the God you trust deceive you by saying, ‘Jerusalem will not be handed over to the king of Assyria.’|Keep the accusation against God within the king’s speech.
19:11|You have heard what the kings of Assyria have done to all the lands, devoting them to destruction. Will you be rescued?|Retain the destruction term and pointed question.
19:12|Did the gods of the nations my ancestors destroyed rescue them—Gozan, Haran, Rezeph, and the people of Eden in Telassar?|Keep every named example.
19:13|Where are the king of Hamath, the king of Arpad, and the king of the city of Sepharvaim, Hena, and Ivvah?”|Retain the source’s grouping of the final places.
19:14|Hezekiah took the letters from the messengers and read them. Then he went up to the LORD’s house and spread the message out before the LORD.|Render plural letters and singular spread object naturally.
19:15|Hezekiah prayed before the LORD: “LORD, God of Israel, enthroned above the cherubim, you alone are God over all the kingdoms of the earth. You made heaven and earth.|Keep cherubim, worldwide scope, and creation claim.
19:16|Bend your ear, LORD, and hear. Open your eyes, LORD, and see. Hear Sennacherib’s words, which he has sent to mock the living God.|Preserve paired bodily appeals and living God.
19:17|It is true, LORD, that the kings of Assyria have devastated the nations and their lands.|Keep the concession in the prayer.
19:18|They threw their gods into the fire, for those were not gods but the work of human hands, wood and stone. So they destroyed them.|Retain materials and the prayer’s explanation.
19:19|Now, LORD our God, please save us from his hand, so that all the kingdoms of the earth may know that you alone, LORD, are God.”|Preserve the stated purpose beyond immediate rescue.
19:20|Isaiah son of Amoz sent word to Hezekiah: “This is what the LORD, the God of Israel, says: I have heard your prayer to me about Sennacherib king of Assyria.|Keep the named prayer subject and answered-hearing motif.
19:21|This is the word the LORD has spoken against him:\n‘Virgin daughter Zion despises you and mocks you.\nDaughter Jerusalem shakes her head behind you.|Preserve personified daughters and place poetry inside its verse paragraph.
19:22|Whom have you mocked and insulted?\nAgainst whom have you raised your voice\nand lifted your eyes in pride?\nAgainst the Holy One of Israel!|Keep the questions and climactic divine title in poetic lines.
19:23|Through your messengers you have mocked the Lord.\nYou have said, “With my many chariots\nI climbed the mountain heights, the far reaches of Lebanon.\nI cut down its tallest cedars, its finest cypresses.\nI reached its remotest lodging, its luxuriant forest.|Follow the read many and retain the boast’s trees and remote lodging.
19:24|I dug wells and drank foreign waters.\nWith the soles of my feet I dried up all the streams of Egypt.”|Preserve the exaggerated water boast.
19:25|Have you not heard? Long ago I made this happen;\nin ancient days I shaped it.\nNow I have brought it about:\nyou have turned fortified cities into heaps of ruins.|Keep the shift from Assyrian boasting to divine planning.
19:26|Their people, powerless, were dismayed and ashamed.\nThey became like plants in the field, like tender grass,\nlike grass on rooftops, scorched before it grows tall.|Retain the full sequence of vulnerable plant images.
19:27|But I know your sitting down, your going out and coming in,\nand your raging against me.|Preserve the movement sequence and divine knowledge.
19:28|Because you rage against me,\nand your arrogance has reached my ears,\nI will put my hook in your nose and my bridle in your lips.\nI will turn you back by the road you came.’|Keep the humiliating restraint images without abstraction.
19:29|“This will be the sign for you: This year you will eat what grows by itself, and in the second year what springs from that. In the third year, sow and reap, plant vineyards and eat their fruit.|Mark the address returning to Hezekiah and preserve three agricultural years.
19:30|The survivors left of Judah’s house\nwill again take root below and bear fruit above.|Keep the balanced plant image as poetry.
19:31|For a remnant will go out from Jerusalem,\nand survivors from Mount Zion.\nThe zeal of the LORD of Armies will do this.|Include Armies from the source’s read addition.
19:32|“Therefore this is what the LORD says about the king of Assyria: He will not enter this city, shoot an arrow here, advance against it with a shield, or build a siege ramp against it.|Retain all four denied siege actions.
19:33|He will return by the road he came. He will not enter this city, declares the LORD.|Repeat the road and city assurances.
19:34|I will defend this city and save it, for my own sake and for the sake of David my servant.”|Keep both stated grounds for rescue.
19:35|That night the LORD’s angel went out and struck down a hundred and eighty-five thousand in the Assyrian camp. When people rose early in the morning, there they were—all dead bodies.|Retain the exact count and avoid inventing a natural mechanism.
19:36|Sennacherib king of Assyria broke camp, left, and returned to Nineveh, where he stayed.|Preserve the withdrawal’s repeated verbs.
19:37|While he was bowing in the temple of his god Nisroch, his sons Adrammelech and Sharezer struck him down with the sword. They escaped to the land of Ararat, and his son Esar-haddon became king in his place.|Include his sons from the read addition and preserve all names.
20:1|In those days Hezekiah became mortally ill. The prophet Isaiah son of Amoz came to him and said, “This is what the LORD says: Put your household in order, for you are going to die. You will not live.”|Keep the unequivocal first oracle without retrospective qualification.
20:2|Hezekiah turned his face to the wall and prayed to the LORD:|Retain the bodily turn.
