6:1|David again gathered Israel’s chosen men, thirty thousand of them.|Retains renewed gathering and the full troop count.
19:24|Mephibosheth, Saul’s grandson, also came down to meet the king. From the day the king left until the day he returned safely, Mephibosheth had neither cared for his feet nor trimmed his mustache nor washed his clothes.|Keeps all three signs of neglected grooming and the full duration.
19:25|When he came to Jerusalem to meet the king, the king asked him, “Why didn’t you go with me, Mephibosheth?”|Retains pinned to Jerusalem rather than silently changing it to from Jerusalem.
19:26|He answered, “My lord the king, my servant deceived me. Your servant had said, ‘I will saddle a donkey for myself, ride it, and go with the king,’ because your servant is lame.|Preserves first-person saddle and Mephibosheth’s own account of deception and disability.
19:27|He slandered your servant to my lord the king. But my lord the king is like an angel of God. Do what is good in your eyes.|Keeps slander allegation and deferential comparison without deciding the competing claims for the reader.
19:28|All my father’s house deserved only death before my lord the king, yet you placed your servant among those who eat at your table. What further right do I have to appeal to the king?”|Retains the self-abasing death claim as his speech and the remembered table privilege.
19:29|The king told him, “Why say any more? I have decided: you and Ziba will divide the land.”|Preserves the abrupt end to the hearing and divided property ruling.
19:30|Mephibosheth answered the king, “Let him take all of it, now that my lord the king has come home safely.”|Keeps the offered relinquishment and priority stated in his reply.
19:31|Barzillai the Gileadite came down from Rogelim and crossed the Jordan with the king to see him on his way.|Follows read Jordan and retains the farewell purpose.
19:32|Barzillai was very old, eighty years of age. He had supplied the king while he stayed at Mahanaim, for he was a very wealthy man.|Preserves age and the material basis of his support.
19:33|The king told Barzillai, “Cross over with me, and I will provide for you beside me in Jerusalem.”|Keeps the reciprocal offer of provision.
19:34|Barzillai answered the king, “How many years of life do I have left, that I should go up with the king to Jerusalem?|Retains the aged man’s question without specifying an expected lifespan.
19:35|I am eighty years old today. Can I still distinguish good from bad? Can your servant taste what I eat and drink, or still hear the voices of men and women singing? Why should your servant become a burden to my lord the king?|Keeps the full sensory questions, both genders of singers, and burden concern.
19:36|Your servant will cross the Jordan with the king for a little way. Why should the king repay me with such a reward?|Preserves modest accompaniment and rejection of a great reward.
19:37|Please let your servant return, so I may die in my own town near the tomb of my father and mother. But here is your servant Chimham. Let him cross with my lord the king, and do for him what is good in your eyes.”|Keeps both parents and does not insert an unstated father-son relationship for Chimham.
19:38|The king answered, “Chimham will cross with me, and I will do for him what is good in your eyes. Whatever you ask of me, I will do for you.”|Preserves the shift from the king’s eyes to Barzillai’s wishes and the broader promise.
19:39|All the people crossed the Jordan, and the king crossed too. The king kissed Barzillai and blessed him, and Barzillai returned to his own place.|Clarifies the returning man while preserving kiss and blessing.
19:40|The king crossed over to Gilgal, and Chimhan crossed with him. All Judah’s people and half Israel’s people brought the king across.|Retains the verse’s Chimhan form and both proportions of the escort.
19:41|Then all the men of Israel came to the king and asked, “Why did our brothers, the men of Judah, steal you away and bring the king and his household across the Jordan, with all David’s men?”|Keeps the stolen-king accusation and household scope.
19:42|All the men of Judah answered Israel’s men, “The king is our close relative. Why are you angry about this? Have we eaten at the king’s expense? Has he given us any gift?”|Preserves kinship defense and both denials of material advantage.
19:43|Israel’s men answered Judah’s men, “We have ten shares in the king, and a greater claim on David than you. Why have you treated us with contempt? Were we not the first to speak of bringing our king back?” But Judah’s words were harsher than Israel’s.|Keeps ten shares, the first-return claim, and the narrator’s final comparison of words.
20:1|A worthless man happened to be there, a Benjaminite named Sheba son of Bichri. He blew the ram’s horn and said, “We have no share in David, no inheritance in Jesse’s son. Every man to his tents, Israel!”|Retains the narrator’s assessment and the share-inheritance slogan linked to the preceding dispute.
20:2|All the men of Israel deserted David to follow Sheba son of Bichri. But Judah’s men clung to their king from the Jordan all the way to Jerusalem.|Keeps the opposed deserting and clinging actions.
20:3|David came home to Jerusalem. The king took the ten concubines he had left to look after the house and placed them in a guarded house. He provided for them but did not sleep with them. They remained shut away until their deaths, living as widows.|Retains lifelong confinement, support, and sexual exclusion without blaming the women.
20:4|The king told Amasa, “Summon Judah’s men for me within three days, and be here yourself.”|Keeps the deadline and Amasa’s required presence.
20:5|Amasa went to summon Judah, but he delayed beyond the time set for him.|Follows read delay without inventing its cause.
20:6|David told Abishai, “Now Sheba son of Bichri will do us more harm than Absalom. Take your lord’s servants and pursue him before he finds fortified cities and escapes our sight.”|Keeps the comparison and the difficult eyes expression as escape from sight.
20:7|Joab’s men, the Cherethites, the Pelethites, and all the warriors followed Abishai out of Jerusalem to pursue Sheba son of Bichri.|Clarifies the immediate commander while retaining Joab’s troop designation.
20:8|They were at the great stone in Gibeon when Amasa came to meet them. Joab was wearing his military garment, with a sword strapped over it in a sheath at his waist. As he stepped forward, the sword fell out.|Keeps the puzzling sword movement without adding a deliberate trick not stated in the verse.
20:9|Joab said to Amasa, “Are you well, my brother?” With his right hand he took Amasa by the beard to kiss him.|Preserves the peace greeting and deceptive intimate gesture.
20:10|Amasa did not guard himself against the sword in Joab’s hand. Joab struck him in the belly and spilled his intestines onto the ground. He did not strike a second time, and Amasa died. Then Joab and his brother Abishai pursued Sheba son of Bichri.|Keeps the bodily harm, single blow, death, and resumed pursuit explicit.
20:11|One of Joab’s young men stood beside Amasa and called, “Whoever favors Joab, whoever belongs to David, follow Joab!”|Preserves the attempt to identify Joab’s cause with David’s.
20:12|Amasa lay wallowing in blood in the middle of the highway. When the man saw everyone stopping, he dragged Amasa off the highway into a field and threw a garment over him, because everyone who came upon him stopped.|Keeps the body’s disruptive presence and the repeated stopping without beautifying the scene.
20:13|Once Amasa was removed from the highway, everyone went on after Joab to pursue Sheba son of Bichri.|Preserves the clearing of the road and continuation under Joab.
20:14|Sheba passed through all Israel’s tribes to Abel and Beth-maacah, and to all the Berites. They gathered together and followed him.|Supplies the likely pursued subject, retains pinned Berites, and follows read gathered without harmonizing the geography.
20:15|Joab’s men came and besieged him in Abel-beth-maacah. They piled a siege ramp against the city, up to the outer defenses, while everyone with Joab battered the wall to bring it down.|Clarifies besiegers and preserves both ramp and wall attack.
20:16|A wise woman called from the city, “Listen! Listen! Please tell Joab, ‘Come here so I can speak to you.’”|Keeps the doubled appeal and the woman’s initiative.
20:17|He came toward her, and she asked, “Are you Joab?” “I am,” he answered. She said, “Listen to your servant’s words.” He replied, “I am listening.”|Preserves the exchange establishing a hearing.
20:18|She said, “In the past people used to say, ‘Ask at Abel,’ and that would settle the matter.|Keeps the city’s proverbial consultation role without adding an external legal requirement.
20:19|I am among the peaceful and faithful in Israel. You are trying to kill a city, a mother in Israel. Why would you swallow up the LORD’s inheritance?”|Preserves the mother-city and devouring images and her claim to peace.
20:20|Joab answered, “Far be it from me—far be it! I would never swallow up or destroy.|Retains the doubled denial as Joab’s speech, in tension with the siege.
20:21|That is not the matter. A man from the hill country of Ephraim, Sheba son of Bichri, has raised his hand against King David. Hand over that man alone, and I will withdraw from the city.” The woman told Joab, “His head will be thrown to you over the wall.”|Keeps the single-person demand and the woman’s explicit promised beheading.
20:22|The woman went to all the people with her wise counsel. They cut off Sheba son of Bichri’s head and threw it to Joab. He blew the ram’s horn, and the men scattered from the city, each to his own tent. Joab returned to the king in Jerusalem.|Retains her effective counsel, the killing, signal, and dispersal without turning it into a bloodless rescue.
20:23|Joab was over Israel’s whole army. Benaiah son of Jehoiada was over the Cherethites and Pelethites.|Follows read Cherethites and keeps Joab’s restored command explicit.
20:24|Adoram was over the forced labor, and Jehoshaphat son of Ahilud was the recorder.|Names coerced labor and distinguishes the administrative offices.
20:25|Sheva was the scribe, and Zadok and Abiathar were priests.|Follows read Sheva while retaining both priests.
20:26|Ira the Jairite was also a priest for David.|Preserves priest rather than replacing the term with chief minister.
21:1|In David’s days there was a famine for three years, year after year. David sought the LORD’s face, and the LORD said, “It is because of Saul and his bloodstained house, because he put the Gibeonites to death.”|Retains duration, seeking the face, and the divine attribution without making the next proposed remedy a divine command.
21:2|The king summoned the Gibeonites and spoke to them. The Gibeonites were not Israelites but a remnant of the Amorites. The Israelites had sworn an oath to them, yet Saul had sought to strike them down in his zeal for Israel and Judah.|Preserves the background oath, ethnicity, and destructive zeal.
21:3|David asked the Gibeonites, “What shall I do for you? How can I make atonement, so that you will bless the LORD’s inheritance?”|Keeps atonement and inheritance as biblical terms within David’s question.
21:4|The Gibeonites answered, “Our dispute with Saul and his house is not about silver or gold, and we have no right to put anyone in Israel to death.” He said, “Tell me what you want, and I will do it for you.”|Follows read our and clarifies lack of authority while retaining David’s open promise.
21:5|They told the king, “The man who consumed us and plotted against us would have destroyed us, leaving us no place anywhere in Israel’s territory.|Preserves the intended eradication as the victims’ account.
21:6|Let seven of his male descendants be handed over to us. We will expose them in death before the LORD at Gibeah of Saul, the LORD’s chosen one.” The king said, “I will hand them over.”|Keeps seven males, lethal public exposure, chosen designation, and David’s assent; the exact execution method remains uncertain.
21:7|But the king spared Mephibosheth, the son of Saul’s son Jonathan, because of the oath before the LORD between David and Jonathan son of Saul.|Retains the distinct oath and full relationship of the spared man.
21:8|The king took Armoni and Mephibosheth, the two sons whom Rizpah daughter of Aiah had borne to Saul, and the five sons whom Saul’s daughter Michal had borne to Adriel son of Barzillai the Meholathite.|Preserves pinned Michal and borne rather than silently replacing either to reconcile other passages.
21:9|He handed them over to the Gibeonites, who exposed them in death on the hill before the LORD. All seven fell together. They were put to death in the first days of harvest, at the beginning of the barley harvest.|Follows all three read forms and retains deaths, place, and harvest timing.
21:10|Rizpah daughter of Aiah took sackcloth and spread it for herself on the rock. From the beginning of harvest until water poured down on them from the sky, she allowed no bird of the sky to settle on them by day, and no wild animal by night.|Preserves her sustained guarding, both kinds of scavenger, and the rainfall endpoint without inventing a duration.
21:11|David was told what Rizpah daughter of Aiah, Saul’s concubine, had done.|Keeps her action as the stated prompt for David’s response.
21:12|David went and retrieved the bones of Saul and his son Jonathan from the people of Jabesh-gilead. They had secretly taken them from the public square of Beth-shan, where the Philistines had hung them on the day they struck Saul down on Gilboa.|Preserves this account’s public-square location and follows the read forms without harmonizing 1 Samuel’s wall wording.
21:13|He brought up the bones of Saul and his son Jonathan from there, and they gathered the bones of those who had been exposed in death.|Keeps the two groups of remains distinct.
21:14|They buried the bones of Saul and his son Jonathan at Zela in Benjamin, in the tomb of Saul’s father Kish. They did everything the king commanded. After this, God responded to pleas for the land.|Retains burial details and the narrative’s after-this sequence without claiming execution alone ended the famine.
21:15|Once again there was war between the Philistines and Israel. David went down with his servants to fight the Philistines, and David grew weary.|Preserves renewed conflict and the king’s vulnerability.
21:16|Ishbi-benob, one of Rapha’s descendants, had a bronze spearhead weighing three hundred shekels and was armed with a new weapon. He intended to strike David down.|Follows read Ishbi, keeps the weight, and does not specify the unstated kind of new weapon.
21:17|But Abishai son of Zeruiah came to his aid, struck the Philistine, and killed him. Then David’s men swore to him, “You must never go into battle with us again, or you may extinguish Israel’s lamp.”|Retains Abishai’s rescue and the lamp image behind the ban.
21:18|After this, there was another battle with the Philistines at Gob. There Sibbecai the Hushathite struck down Saph, one of Rapha’s descendants.|Keeps pinned Gob, Sibbecai, and Saph without replacing them from a parallel account.
21:19|In another battle with the Philistines at Gob, Elhanan son of Jaare-oregim the Bethlehemite struck down Goliath the Gittite. Goliath’s spear shaft was like a weaver’s beam.|Retains the consequential pinned Elhanan-Goliath reading without adding brother of.
21:20|There was another battle at Gath. A man of great size was there, with six fingers on each hand and six toes on each foot—twenty-four in all. He too was descended from Rapha.|Follows read size and preserves the complete six-and-six count.
21:21|When he taunted Israel, Jonathan, the son of David’s brother Shimeah, struck him down.|Follows read Shimeah and keeps this Jonathan distinct from Saul’s son.
21:22|These four were descended from Rapha in Gath. They fell by the hands of David and his servants.|Retains the four-person summary and collective attribution without erasing the named killers.
22:1|David spoke the words of this song to the LORD when the LORD delivered him from the hand of all his enemies and from Saul’s hand.|Keeps the narrative frame and separate mention of Saul.
22:2|He said:\n“The LORD is my cliff, my fortress,\nand the one who delivers me.|Preserves three protective images and starts the sustained poem inside verse formatting.
22:3|My God is my rock; in him I take refuge,\nmy shield and the horn of my salvation,\nmy stronghold and my place of escape.\nMy savior, you save me from violence.|Keeps horn and all refuge images, including the turn to direct address.
22:4|I call to the LORD, who is worthy of praise,\nand I am saved from my enemies.|Retains the call-and-rescue relationship without importing a line from Psalm 18.
22:5|The breakers of death surrounded me;\ntorrents of destruction terrified me.|Keeps Samuel’s breakers rather than the parallel psalm’s cords at this point.
22:6|The cords of Sheol coiled around me;\nthe snares of death confronted me.|Retains Sheol and the distinct cords and traps.
22:7|In my distress I called to the LORD;\nto my God I called.\nFrom his temple he heard my voice;\nmy cry for help reached his ears.|Preserves repeated calling, temple, and embodied hearing.
22:8|Then the earth shook and quaked;\nthe foundations of heaven trembled.\nThey shook because he was angry.|Follows read shaking and retains foundations of heaven rather than mountains from the parallel psalm.
22:9|Smoke rose from his nostrils;\ndevouring fire came from his mouth.\nBurning coals blazed from him.|Preserves the full anthropomorphic storm-fire imagery.
22:10|He bent the heavens and came down,\nthick darkness beneath his feet.|Keeps descent and darkness as spatial poetry.
22:11|He rode a cherub and flew;\nhe appeared on the wings of the wind.|Retains pinned appeared rather than importing soared from Psalm 18.
22:12|He made darkness shelters around him,\npiled-up waters, thick clouds of the skies.|Preserves plural shelters and the difficult gathered-water image.
22:13|From the brightness before him\nburning coals blazed.|Keeps Samuel’s short line without adding hail from a parallel.
22:14|The LORD thundered from heaven;\nthe Most High gave his voice.|Retains the voice-thunder parallel and divine title.
22:15|He sent arrows and scattered them,\nlightning, and threw them into confusion.|Follows the read verb while retaining the implied targets and lightning parallel.
22:16|The channels of the sea appeared;\nthe world’s foundations lay bare\nat the LORD’s rebuke,\nat the blast of breath from his nostrils.|Keeps sea channels, exposed foundations, and the doubled rebuke-breath agency.
22:17|He reached down from on high and took me;\nhe drew me out of many waters.|Preserves rescue as drawing out of waters, not a generalized trouble metaphor.
22:18|He rescued me from my strong enemy,\nfrom those who hated me, for they were stronger than I.|Keeps the singular enemy and plural haters.
22:19|They confronted me on my day of disaster,\nbut the LORD became my support.|Retains the day of vulnerability and contrasting support.
22:20|He brought me out into a spacious place;\nhe rescued me because he delighted in me.|Keeps the roomy-place image and stated delight.
22:21|The LORD rewarded me according to my righteousness;\nhe repaid me according to the cleanness of my hands.|Preserves the speaker’s claim and embodied clean hands without harmonizing the narrative’s moral tensions.
22:22|For I have kept the LORD’s ways\nand have not wickedly turned from my God.|Keeps the claimed fidelity as David’s sung words.
22:23|All his judgments are before me;\nI do not turn aside from his statutes.|Follows read plural judgments and retains both law terms.
22:24|I have been blameless before him\nand have guarded myself from my own guilt.|Keeps blameless and personal guilt rather than weakening either claim.
22:25|The LORD repaid me according to my righteousness,\naccording to my cleanness before his eyes.|Preserves the refrain’s variation: this verse does not repeat hands.
22:26|With the faithful you show yourself faithful;\nwith the blameless warrior you show yourself blameless.|Retains the reciprocal word pattern and Samuel’s warrior wording.
22:27|With the pure you show yourself pure;\nwith the crooked you show yourself shrewd.|Keeps contrasting responses without flattening the difficult second verb into simple opposition.
22:28|You save an afflicted people,\nbut your eyes are on the proud to bring them low.|Preserves the social contrast and watching eyes.
22:29|For you are my lamp, LORD;\nthe LORD lights up my darkness.|Keeps you are my lamp rather than harmonizing the parallel psalm’s lighting a lamp.
22:30|With you I can charge a raiding band;\nwith my God I can leap a wall.|Retains military imagery and balanced with-you/with-God clauses.
22:31|God’s way is complete;\nthe LORD’s word is refined.\nHe is a shield to all who take refuge in him.|Preserves complete way, metal-testing image, and refuge refrain.
22:32|Who is God apart from the LORD?\nWho is a rock apart from our God?|Keeps both rhetorical questions and the rock image.
22:33|God is my strong refuge;\nhe clears my way completely.|Follows read my way and renders the difficult loosening verb without borrowing the parallel psalm’s girding line.
22:34|He makes my feet like a doe’s\nand sets me on my heights.|Follows read my feet and retains the female deer comparison and high places.
22:35|He trains my hands for war,\nso my arms can bend a bronze bow.|Keeps training, body parts, and the ancient bronze-bow image.
22:36|You give me the shield of your salvation;\nyour answering me makes me great.|Retains a defensible answering sense of the difficult noun rather than silently substituting Psalm 18’s form.
22:37|You give my steps room beneath me,\nand my ankles do not give way.|Preserves spacious footing and anatomical ankles.
22:38|I pursue my enemies and destroy them;\nI do not turn back until I finish them.|Keeps the violence and relentless pursuit in the song’s own voice.
22:39|I finish them and crush them;\nthey cannot rise.\nThey fall beneath my feet.|Retains repeated finishing and the enemies underfoot.
22:40|You gird me with strength for battle;\nyou make those who rise against me bow beneath me.|Keeps girding and forced subjection rather than abstracting the victory.
22:41|You give me my enemies’ backs;\nI wipe out those who hate me.|Preserves the backs image of flight and explicit destruction.
22:42|They look for help, but no one saves;\nthey look to the LORD, but he does not answer.|Retains pinned looking rather than changing it to crying out from the parallel psalm.
22:43|I grind them like the dust of the earth;\nlike mud in the streets, I crush and trample them.|Keeps all three violent actions and both material comparisons.
22:44|You deliver me from my people’s disputes;\nyou preserve me as head of nations.\nA people I did not know serves me.|Retains my people and the move from domestic conflict to foreign rule.
22:45|Foreigners cringe before me;\nat the mere hearing of me they obey.|Keeps the compelled or feigned submission sense and immediate hearing.
22:46|Foreigners lose heart\nand come limping from their strongholds.|Uses the possible faltering sense of the difficult verb; its relation to girding requires a note.
22:47|The LORD lives! Blessed be my rock!\nExalted be God, the rock of my salvation!|Preserves the doubled rock and acclamations.
22:48|He is the God who gives me vengeance,\nwho brings peoples down beneath me,|Keeps vengeance and political subjection explicit; the sentence continues.
22:49|who brings me out from my enemies.\nYou lift me above those who rise against me;\nyou rescue me from violent men.|Preserves the switch from third-person praise to second-person address.
22:50|So I will thank you among the nations, LORD,\nand sing praise to your name.|Keeps the nations as the setting for thanksgiving and the name theme.
22:51|He is a tower of salvation for his king,\nshowing steadfast love to his anointed,\nto David and his offspring forever.”|Follows read tower rather than written magnifies victories, preserving anointed, offspring, and enduring love.
23:1|These are David’s last words:\n“The declaration of David son of Jesse,\nthe declaration of the man raised on high,\nthe anointed of the God of Jacob,\nthe sweet singer of Israel’s songs:|Retains repeated declaration and the layered descriptions without turning last words into an exact deathbed chronology.
23:2|The Spirit of the LORD has spoken through me;\nhis word is on my tongue.|Keeps Spirit, mediated speech, and tongue image.
23:3|The God of Israel has spoken;\nthe Rock of Israel has said to me:\n‘One who rules people justly,\nwho rules in the fear of God,|Preserves parallel divine titles and the ruler’s justice and fear of God.
23:4|is like morning light when the sun rises,\na morning without clouds,\nlike brightness after rain\nthat brings grass from the earth.’|Unfolds the compressed light-rain-growth image with its implied comparison.
23:5|Is not my house like this with God?\nHe has made an everlasting covenant with me,\nordered in every part and secure.\nWill he not make all my salvation\nand all my desire spring up?|Reads the two negative clauses as rhetorical questions while noting the alternative declarative reading.
23:6|But the worthless are all like thorns thrown aside;\nthey cannot be taken with the hand.|Keeps the thorns image and warning against barehanded contact.
23:7|Whoever touches them must be armed\nwith iron and a spear shaft.\nThey will be completely burned with fire\nwhere they lie.”|Preserves protective implements and the difficult final place expression without importing a named location.
23:8|These are the names of David’s warriors: Josheb-basshebeth the Tahchemonite, chief of the Three. He was Adino the Eznite, who struck down eight hundred at one time.|Retains the difficult pinned names and eight hundred rather than replacing them from the parallel list.
23:9|After him was Eleazar son of Dodo, son of Ahohi, one of the three warriors with David when they taunted the Philistines gathered there for battle. The men of Israel withdrew,|Follows read Dodo and warriors, retains both son relationships, and continues into Eleazar’s stand.
23:10|but he stood his ground and struck the Philistines until his hand grew weary and clung to the sword. The LORD brought about a great victory that day. The people returned after him only to strip the dead.|Keeps exhausted hand, divine victory, and the others’ limited return.
23:11|After him was Shammah son of Agee the Hararite. The Philistines gathered in a band where there was a field full of lentils, and the people fled before them.|Retains lentils and the uncertain gathering expression as a troop, not an invented place name.
23:12|But he stood in the middle of the field, defended it, and struck down the Philistines. The LORD brought about a great victory.|Keeps the field defense and repeats the same victory formula as verse 10.
23:13|At harvest time, three of the thirty chiefs went down to David at the cave of Adullam, while a Philistine band was camped in the Valley of Rephaim.|Follows read three rather than written thirty and preserves both locations.
23:14|David was in the stronghold then, and a Philistine garrison was in Bethlehem.|Keeps the simultaneous positions that explain the danger.
23:15|David voiced a longing: “If only someone would give me water from the well beside Bethlehem’s gate!”|Preserves a wish rather than converting it into an explicit order.
23:16|The three warriors broke through the Philistine camp, drew water from the well beside Bethlehem’s gate, and carried it back to David. But he refused to drink it and poured it out to the LORD.|Keeps the dangerous action, repeated well, refusal, and libation.
23:17|He said, “LORD, far be it from me to do this! Is this not the blood of the men who went at the risk of their lives?” He would not drink it. These were the deeds of the three warriors.|Unfolds the elliptical blood question without turning the water into literal blood.
23:18|Abishai, Joab’s brother and a son of Zeruiah, was chief of the Three. He raised his spear against three hundred and killed them, winning a name among the Three.|Follows read Three and retains the number and group designation despite its difficulty with the next verse.
23:19|He was the most honored of the Three and became their commander, but he did not attain the rank of the Three.|Preserves the unresolved repeated group name rather than silently substituting Thirty.
23:20|Benaiah son of Jehoiada was the son of a valiant man from Kabzeel, a man of many deeds. He struck down Moab’s two ariels. He also went down into a pit on a snowy day and killed a lion.|Follows read valiant and lion; retains the uncertain ariels term with explanation in Vocabulary.
23:21|He also struck down an imposing Egyptian. The Egyptian had a spear in his hand, but Benaiah went against him with a staff, seized the spear from his hand, and killed him with his own spear.|Follows read man of appearance and preserves the reversal of weapons.
23:22|Benaiah son of Jehoiada did these things and won a name among the three warriors.|Keeps the summary honor without asserting membership beyond the source.
23:23|He was more honored than the Thirty, though he did not attain the rank of the Three. David put him over his personal guard.|Preserves the explicit Thirty/Three distinction and the likely guard office.
23:24|Among the Thirty were Asahel, Joab’s brother; Elhanan son of Dodo from Bethlehem;|Begins the roster and retains both relationships without imposing an artificial total.
23:25|Shammah the Harodite; Elika the Harodite;|Keeps both men with the same origin rather than collapsing similar entries.
23:26|Helez the Paltite; Ira son of Ikkesh the Tekoite;|Preserves each name and patronymic or origin.
23:27|Abiezer the Anathothite; Mebunnai the Hushathite;|Retains pinned Mebunnai rather than harmonizing Sibbecai.
23:28|Zalmon the Ahohite; Maharai the Netophathite;|Keeps both origin designations.
23:29|Heleb son of Baanah the Netophathite; Ittai son of Ribai from Gibeah of Benjamin;|Preserves Heleb and the fuller location of Ittai.
23:30|Benaiah the Pirathonite; Hiddai from the valleys of Gaash;|Keeps this Benaiah distinct by origin and retains plural valleys.
23:31|Abi-albon the Arbathite; Azmaveth the Barhumite;|Retains the pinned compound name and origin forms.
23:32|Eliahba the Shaalbonite; the sons of Jashen; Jonathan;|Preserves the difficult sons-of-Jashen entry and does not invent a patronymic for Jonathan.
23:33|Shammah the Hararite; Ahiam son of Sharar the Ararite;|Keeps the source’s differing Hararite and Ararite forms.
23:34|Eliphelet son of Ahasbai, son of the Maacathite; Eliam son of Ahithophel the Gilonite;|Retains the repeated son construction and Ahithophel connection without a speculative correction.
23:35|Hezrai the Carmelite; Paarai the Arbite;|Follows read Hezrai and keeps Paarai.
23:36|Igal son of Nathan from Zobah; Bani the Gadite;|Retains both entries rather than importing the parallel list’s names.
23:37|Zelek the Ammonite; Naharai the Beerothite, who carried the weapons of Joab son of Zeruiah;|Follows read singular bearer and preserves the foreign origin and service role.
23:38|Ira the Ithrite; Gareb the Ithrite;|Keeps both Ithrites distinct.
23:39|and Uriah the Hittite. Thirty-seven in all.|Preserves the final Uriah name and stated total without forcing the preceding uncertain list to fit it.
24:1|Again the LORD’s anger burned against Israel, and he incited David against them, saying, “Go, count Israel and Judah.”|Retains the source’s divine agency rather than harmonizing the parallel account’s adversary.
24:2|The king told Joab, the army commander with him, “Please go through all Israel’s tribes, from Dan to Beer-sheba, and muster the people, so I may know their number.”|Keeps full-land extent and David’s stated purpose.
24:3|Joab answered the king, “May the LORD your God multiply the people a hundred times over, while my lord the king sees it with his own eyes. But why does my lord the king delight in this?”|Retains the hundredfold wish and challenge without adding an unstated legal explanation.
24:4|But the king’s command prevailed over Joab and the army commanders. They left the king’s presence to muster the people of Israel.|Preserves the officers’ overridden objection and compliance.
24:5|They crossed the Jordan and camped at Aroer, south of the town in the valley, in Gad, and toward Jazer.|Keeps the compressed geographic sequence without pretending its syntax is certain.
24:6|They went to Gilead and the land of Tahtim-hodshi, then to Dan-jaan and around toward Sidon.|Retains the obscure pinned place names rather than reconstructing them from other witnesses.
24:7|They came to the fortress of Tyre and all the towns of the Hivites and Canaanites, then went out to the Negeb of Judah at Beer-sheba.|Preserves all named regions and peoples along the route.
24:8|After going through the whole land, they returned to Jerusalem at the end of nine months and twenty days.|Retains the exact duration.
24:9|Joab gave the king the number of the people mustered: in Israel, eight hundred thousand fighting men who drew the sword, and in Judah, five hundred thousand men.|Preserves Samuel’s two totals and its differing descriptions of the groups.
24:10|After David counted the people, his heart struck him. He said to the LORD, “I have sinned greatly in what I have done. Now, LORD, please take away your servant’s guilt, for I have acted very foolishly.”|Keeps the striking-heart image, confession, and request without supplying the census’s unexpressed motive.
24:11|When David rose in the morning, the word of the LORD came to the prophet Gad, David’s seer:|Preserves both prophet and seer designations and introduces the message.
24:12|“Go and tell David, ‘This is what the LORD says: I am laying three things before you. Choose one, and I will do it to you.’”|Keeps the threefold choice and divine action.
24:13|Gad came to David and told him, “Shall seven years of famine come on your land? Or will you flee for three months before enemies who pursue you? Or shall there be three days of plague in your land? Now think carefully about what answer I should take to the one who sent me.”|Retains pinned seven years, three months, and three days rather than harmonizing the famine duration.
24:14|David told Gad, “I am in great distress. Please let us fall into the LORD’s hand, for his mercies are many. But do not let me fall into human hands.”|Follows read mercies and preserves the deliberate us-to-me shift.
24:15|So the LORD sent a plague on Israel from that morning until the appointed time. Seventy thousand people died, from Dan to Beer-sheba.|Keeps the unspecified appointed endpoint and full death count.
24:16|When the angel stretched out his hand toward Jerusalem to destroy it, the LORD relented from the disaster. He told the angel destroying the people, “Enough! Now withdraw your hand.” The LORD’s angel was beside the threshing floor of Araunah the Jebusite.|Follows read Araunah and retains relenting, command, and the angel’s location.
24:17|When David saw the angel striking the people, he said to the LORD, “I am the one who sinned; I am the one who did wrong. But these sheep—what have they done? Please let your hand fall on me and my father’s house.”|Keeps David’s repeated personal responsibility and the sheep image without changing it into a narrator’s innocence verdict.
24:18|That day Gad came to David and said, “Go up and raise an altar to the LORD on the threshing floor of Araunah the Jebusite.”|Follows read name and preserves the new instruction.
24:19|David went up at Gad’s word, just as the LORD had commanded.|Keeps the connection between prophetic word and divine command.
24:20|Araunah looked out and saw the king and his servants approaching. He went out and bowed facedown to the ground before the king.|Retains seeing, approach, and homage.
24:21|Araunah asked, “Why has my lord the king come to his servant?” David answered, “To buy your threshing floor and build an altar to the LORD, so the plague may be stopped among the people.”|Keeps purchase and intended purpose distinct from the later free offer.
24:22|Araunah told David, “Let my lord the king take and offer whatever is good in his eyes. Here are the cattle for the burnt offering, and the threshing sledges and cattle equipment for the wood.”|Preserves all offered materials and the agricultural implements.
24:23|Araunah the king gave all this to the king. Araunah said to the king, “May the LORD your God accept you.”|Retains the difficult title attached to Araunah instead of silently deleting or relocating it into speech.
24:24|But the king told Araunah, “No. I will certainly buy it from you for a price. I will not offer the LORD my God burnt offerings that cost me nothing.” So David bought the threshing floor and the cattle for fifty silver shekels.|Keeps emphatic purchase, cost, exact price, and scope rather than importing the parallel account’s amount.
24:25|David built an altar to the LORD there and offered burnt offerings and well-being offerings. The LORD responded to pleas for the land, and the plague was stopped in Israel.|Retains both offerings and the closing answered-plea formula linking the book’s final accounts.
