2:1|As David’s death drew near, he gave his son Solomon these instructions:|Introduces the approaching death and direct charge without archaic timing.
12:28|After taking counsel, the king made two gold calves. He told the people, “You have gone up to Jerusalem long enough. Here are your gods, Israel, who brought you up from Egypt.”|Retains the plural gods and exodus claim with ambiguity noted.
12:29|He placed one in Bethel and the other in Dan.|Keeps the two locations unexpanded.
12:30|This became a sin. The people went as far as Dan to appear before one of them.|Retains the difficult singular one and distant journey.
12:31|He built shrines at the high places and appointed priests from among the people who were not Levites.|Avoids imposing low social rank on from-among language.
12:32|Jeroboam established a festival on the fifteenth day of the eighth month, like the festival in Judah, and went up to the altar. This is what he did at Bethel, sacrificing to the calves he had made. At Bethel he installed the priests of the high places he had made.|Retains repeated made and Bethel alongside the festival date.
12:33|He went up to the altar he had made at Bethel on the fifteenth day of the eighth month—a month he had devised in his own heart. He established a festival for the Israelites and went up to the altar to burn offerings.|Follows read his heart and preserves deliberate repetition of date and ascent.
13:1|A man of God came from Judah to Bethel at the LORD’s word, just as Jeroboam stood at the altar to burn offerings.|Keeps the arrival’s authority and royal action.
13:2|At the LORD’s word he cried out against the altar: “Altar, altar! This is what the LORD says: A son named Josiah will be born to David’s house. On you he will sacrifice the high-place priests who burn offerings on you, and human bones will be burned on you.”|Retains doubled address, named prediction and violence against priests.
13:3|That day he gave a sign: “This is the sign the LORD has declared: the altar will split apart, and the ashes on it will spill out.”|Keeps sign and its two visible effects.
13:4|When the king heard the man of God cry out against the altar at Bethel, Jeroboam stretched out his hand from the altar and said, “Seize him!” But the hand he stretched toward him withered, and he could not draw it back.|Preserves repeated hand and immediate incapacity.
13:5|The altar split apart and its ashes spilled out, just as the man of God had announced in the sign at the LORD’s word.|Keeps the full correspondence with the sign.
13:6|The king said to the man of God, “Please seek the favor of the LORD your God. Pray for me so my hand may be restored.” The man of God sought the LORD’s favor, and the king’s hand was restored, as it had been before.|Retains your God and repeated appeal/restoration.
13:7|The king said, “Come home with me and refresh yourself. I will give you a gift.”|Keeps hospitality and offered reward distinct.
13:8|The man of God answered, “Even if you gave me half your house, I would not go with you. I will not eat bread or drink water in this place.|Retains house and emphatic refusal.
13:9|For this was commanded me by the LORD’s word: ‘Do not eat bread or drink water, and do not return by the road you came.’”|Preserves all three prohibitions.
13:10|So he went by another road and did not return by the road he had taken to Bethel.|Keeps obedience as a concrete route change.
13:11|An old prophet lived in Bethel. One of his sons came and told him all the man of God had done there that day. His sons also reported what the man had said to the king.|Preserves singular son followed by plural sons.
13:12|Their father asked, “Which road did he take?” His sons had seen the road taken by the man of God who came from Judah.|Keeps prior observation as the basis of pursuit.
13:13|He told his sons, “Saddle the donkey for me.” They saddled it, and he mounted.|Retains order and response.
13:14|He followed the man of God and found him sitting under a terebinth. “Are you the man of God who came from Judah?” he asked. “I am,” the man replied.|Keeps tree type and identification dialogue.
13:15|The old prophet said, “Come home with me and eat bread.”|Names the speaker to distinguish the two prophets.
13:16|He answered, “I cannot turn back and go with you. I will not eat bread or drink water with you in this place.|Retains repeated refusal and location restriction.
13:17|For I was told by the LORD’s word, ‘Do not eat bread or drink water there, and do not go back by the road you came.’”|Keeps the repeated commission intact.
13:18|The old prophet said, “I too am a prophet, like you. An angel told me by the LORD’s word, ‘Bring him back to your house so he may eat bread and drink water.’” But he was lying to him.|Clearly separates the false divine claim from the narrator’s verdict.
13:19|So the man went back with him and ate bread and drank water in his house.|Keeps both forbidden actions explicit.
13:20|As they sat at the table, the LORD’s word came to the prophet who had brought him back.|Preserves genuine revelation to the earlier liar.
13:21|He cried out to the man of God from Judah, “This is what the LORD says: You defied the LORD’s command and did not keep what the LORD your God commanded you.|Retains the accusation without excusing or explaining it.
13:22|You turned back and ate bread and drank water where he told you not to. Therefore your body will not enter your ancestors’ tomb.”|Keeps burial judgment and its stated cause.
13:23|After the man had eaten and drunk, the old prophet saddled the donkey for the prophet he had brought back.|Clarifies agents in the difficult saddle sentence.
13:24|As he went on his way, a lion met him on the road and killed him. His body lay thrown on the road, with the donkey standing beside it and the lion standing beside the body.|Preserves death and the two stationary animals.
13:25|People passing by saw the body on the road and the lion standing beside it. They went and reported it in the town where the old prophet lived.|Keeps witnesses and report location.
13:26|When the prophet who had brought him back heard this, he said, “It is the man of God who defied the LORD’s command. The LORD gave him to the lion, which mauled and killed him, just as the LORD told him.”|Keeps the interpretation attributed to the old prophet.
13:27|He told his sons, “Saddle the donkey for me.” They did so.|Retains the repeated saddle instruction.
13:28|He went and found the body lying on the road, with the donkey and lion standing beside it. The lion had neither eaten the body nor mauled the donkey.|Preserves the two exceptional absences of animal behavior.
13:29|The prophet lifted the man of God’s body onto the donkey and brought it back to his own town to mourn and bury him.|Clarifies the returning prophet and burial purpose.
13:30|He laid the body in his own tomb, and they mourned him: “Alas, my brother!”|Keeps shared tomb and kinship lament.
13:31|After burying him, he told his sons, “When I die, bury me in the tomb where the man of God lies. Lay my bones beside his bones.|Retains repeated bones and burial request.
13:32|For the word he cried out by the LORD’s command against the altar at Bethel and all the high-place shrines in Samaria’s towns will certainly come true.”|Preserves Samaria in this speech without chronological harmonization.
13:33|Even after this, Jeroboam did not turn from his evil way. Again he appointed priests for the high places from among the people. Whoever wished, he ordained as a high-place priest.|Keeps repeated appointment and open eligibility.
13:34|This became the sin of Jeroboam’s house that led to its being wiped out and destroyed from the face of the earth.|Preserves the paired destruction terms and house judgment.
14:1|At that time Jeroboam’s son Abijah became ill.|Keeps illness and family identity.
14:2|Jeroboam told his wife, “Please get up and disguise yourself so no one recognizes you as Jeroboam’s wife. Go to Shiloh. The prophet Ahijah is there—the one who said I would be king over this people.|Preserves the unnamed wife’s commission and prior prophecy.
14:3|Take ten loaves, some cakes, and a jar of honey, and go to him. He will tell you what will happen to the boy.”|Keeps all gifts and the question’s future orientation.
14:4|Jeroboam’s wife did so. She went to Shiloh and entered Ahijah’s house. Ahijah could no longer see; his eyes had grown fixed with age.|Retains disability without turning it into spiritual symbolism.
14:5|The LORD had told Ahijah, “Jeroboam’s wife is coming to ask you about her son, who is ill. Tell her such and such.” When she arrived, she was disguised.|Keeps advance revelation distinct from disguise.
14:6|When Ahijah heard her footsteps at the doorway, he said, “Come in, Jeroboam’s wife. Why are you pretending to be someone else? I have been sent to you with a harsh message.|Preserves hearing and recognition rather than inventing sight.
14:7|Go, tell Jeroboam, ‘This is what the LORD, Israel’s God, says: I raised you from among the people and made you leader over my people Israel.|Keeps divine elevation as the accusation’s premise.
14:8|I tore the kingdom from David’s house and gave it to you. But you have not been like my servant David, who kept my commands and followed me with all his heart, doing only what was right in my eyes.|Preserves the quoted David evaluation without importing qualifications.
14:9|You have done more evil than all who came before you. You went and made other gods and cast images for yourself, provoking me to anger. You cast me behind your back.|Keeps the bodily rejection image and comparison.
14:10|So I am bringing disaster on Jeroboam’s house. I will cut off every one of Jeroboam’s males who urinates against a wall, confined or free in Israel. I will sweep away Jeroboam’s house as one sweeps away dung, until nothing remains.|Retains the coarse male idiom and dung image; paired status terms noted.
14:11|Dogs will eat anyone of Jeroboam’s house who dies in the city, and the birds of the sky will eat anyone who dies in the open country. The LORD has spoken.’|Preserves both denied-burial scenarios.
14:12|“Now get up and go home. When your feet enter the city, the child will die.|Keeps the precise predicted arrival point.
14:13|All Israel will mourn him and bury him. He alone of Jeroboam’s house will enter a tomb, because in him alone something good toward the LORD, Israel’s God, was found in Jeroboam’s house.|Retains the paradoxical good-child death and burial exception.
14:14|The LORD will raise up for himself a king over Israel who will cut off Jeroboam’s house—this very day! And what more? Even now!|Keeps the broken urgency of the difficult closing phrase.
14:15|The LORD will strike Israel, shaking it like a reed in water. He will uproot Israel from this good land he gave their ancestors and scatter them beyond the River, because they made their Asherah poles, provoking the LORD to anger.|Preserves reed, uprooting, exile and named cult objects.
14:16|He will give Israel up because of Jeroboam’s sins, which he committed and led Israel to commit.”|Keeps personal and induced sin together.
14:17|Jeroboam’s wife got up and went to Tirzah. As she crossed the threshold of the house, the boy died.|Preserves threshold here rather than changing it to the predicted city entry.
14:18|They buried him, and all Israel mourned him, just as the LORD had said through his servant Ahijah the prophet.|Retains burial, mourning and fulfillment.
14:19|The rest of Jeroboam’s history—how he waged war and how he ruled—is written in the Book of the Annals of Israel’s Kings.|Keeps the external annal reference distinct from biblical Chronicles.
14:20|Jeroboam ruled for twenty-two years. He lay down with his ancestors, and his son Nadab became king in his place.|Preserves duration and succession.
14:21|Rehoboam son of Solomon ruled in Judah. He was forty-one when he became king and ruled seventeen years in Jerusalem, the city the LORD chose from all Israel’s tribes to place his name there. His mother was Naamah the Ammonite.|Keeps age, reign, chosen city and maternal ethnicity.
14:22|Judah did evil in the LORD’s eyes. Their sins provoked his jealousy more than anything their ancestors had done.|Retains Judah as subject and jealousy language.
14:23|They too built high places, sacred pillars, and Asherah poles on every high hill and under every flourishing tree.|Keeps all three cult features and the repeated every.
14:24|There were also male shrine attendants in the land. The people practiced all the detestable things of the nations the LORD had driven out before the Israelites.|Uses restrained cult-role wording without assuming a disputed sexual function.
14:25|In King Rehoboam’s fifth year, Shishak king of Egypt attacked Jerusalem.|Follows the read name and preserves the regnal date.
14:26|He took the treasures of the LORD’s house and the king’s house. He took everything, including all the gold shields Solomon had made.|Keeps the repeated taking and loss of Solomon’s gold.
14:27|King Rehoboam made bronze shields to replace them and entrusted them to the commanders of the runners who guarded the entrance to the king’s house.|Preserves the material downgrade and guard function.
14:28|Whenever the king entered the LORD’s house, the runners carried the shields, then returned them to the guardroom.|Keeps the recurring ceremonial movement.
14:29|The rest of Rehoboam’s history and all he did—are they not written in the Book of the Annals of Judah’s Kings?|Retains the source-citation question.
14:30|There was war between Rehoboam and Jeroboam throughout their days.|Keeps the ongoing conflict claim beside the earlier aborted campaign.
14:31|Rehoboam lay down with his ancestors and was buried with them in the City of David. His mother was Naamah the Ammonite. His son Abijam became king in his place.|Preserves repeated maternal identification and pinned Abijam name.
15:1|In the eighteenth year of King Jeroboam son of Nebat, Abijam became king over Judah.|Preserves accession synchronism and name.
15:2|He ruled three years in Jerusalem. His mother was Maacah daughter of Abishalom.|Keeps reign and the pinned maternal lineage.
15:3|He followed all the sins his father had committed before him. His heart was not wholly with the LORD his God, as his ancestor David’s heart had been.|Uses ancestor for broader father while retaining the heart comparison.
15:4|Yet for David’s sake the LORD his God gave him a lamp in Jerusalem, raising up his son after him and preserving Jerusalem.|Retains lamp and explains its succession context through the source’s clauses.
15:5|For David had done what was right in the LORD’s eyes and had not turned from anything he commanded him all his life—except in the matter of Uriah the Hittite.|Keeps the explicit Uriah exception.
15:6|There was war between Rehoboam and Jeroboam throughout his lifetime.|Preserves Rehoboam and the unresolved singular pronoun.
15:7|The rest of Abijam’s history and all he did—are they not written in the Book of the Annals of Judah’s Kings? There was war between Abijam and Jeroboam.|Keeps Abijam distinct from the preceding Rehoboam notice.
15:8|Abijam lay down with his ancestors, and they buried him in the City of David. His son Asa became king in his place.|Retains death, burial and succession sequence.
15:9|In the twentieth year of Jeroboam king of Israel, Asa became king of Judah.|Preserves the regnal synchronism.
15:10|He ruled forty-one years in Jerusalem. His mother was Maacah daughter of Abishalom.|Retains mother from the pin and notes the broader family relation.
15:11|Asa did what was right in the LORD’s eyes, as his ancestor David had.|Keeps the favorable evaluation’s benchmark.
15:12|He removed the male shrine attendants from the land and removed all the idols his ancestors had made.|Uses the same restrained cult-role wording as 14:24.
15:13|He even removed his mother Maacah from her position as queen mother because she had made a monstrous image for Asherah. Asa cut down her image and burned it in the Kidron Valley.|Preserves her office, image’s evaluative term and destruction.
15:14|The high places were not removed. Yet Asa’s heart was wholly with the LORD all his days.|Keeps the qualification beside the wholehearted evaluation.
15:15|He brought into the LORD’s house the things his father had dedicated and his own dedicated gifts: silver, gold, and utensils.|Preserves the two sets of dedicated objects.
15:16|There was war between Asa and Baasha king of Israel throughout their days.|Keeps the repeated conflict formula.
15:17|Baasha king of Israel attacked Judah and fortified Ramah to prevent anyone from going out or coming in to Asa king of Judah.|Makes the blockade’s purpose explicit.
15:18|Asa took all the silver and gold left in the treasuries of the LORD’s house and the king’s house and entrusted it to his servants. He sent them to Ben-hadad son of Tabrimmon son of Hezion, king of Aram, who lived in Damascus, with this message:|Preserves both treasuries and the full Aramean genealogy.
15:19|“There is a covenant between me and you, as there was between my father and yours. I am sending you a gift of silver and gold. Break your covenant with Baasha king of Israel so he will withdraw from me.”|Keeps the request to break one covenant for another.
15:20|Ben-hadad listened to King Asa and sent his army commanders against Israel’s towns. He struck Ijon, Dan, Abel-beth-maacah, and all Chinneroth, together with all the land of Naphtali.|Retains all targeted places and regional scope.
15:21|When Baasha heard, he stopped fortifying Ramah and stayed in Tirzah.|Keeps withdrawal’s result without adding battle details.
15:22|King Asa summoned all Judah, with no one exempt. They carried away the stones and timber Baasha had used at Ramah. With them Asa fortified Geba of Benjamin and Mizpah.|Preserves compulsory mobilization and reused materials.
15:23|The rest of Asa’s history, all his mighty deeds, all he did, and the towns he built—are they not written in the Book of the Annals of Judah’s Kings? In his old age, however, he developed a disease in his feet.|Keeps the illness without importing Chronicles’ medical judgment.
15:24|Asa lay down with his ancestors and was buried with them in the city of his ancestor David. His son Jehoshaphat became king in his place.|Retains burial and transition.
15:25|Nadab son of Jeroboam became king over Israel in the second year of Asa king of Judah. He ruled Israel for two years.|Keeps both synchronism and duration.
15:26|He did evil in the LORD’s eyes, following his father’s way and the sin by which his father had led Israel into sin.|Preserves inherited and induced wrongdoing.
15:27|Baasha son of Ahijah, from Issachar’s house, conspired against him. Baasha struck him down at Gibbethon, which belonged to the Philistines, while Nadab and all Israel were besieging it.|Keeps tribal origin and the siege setting.
15:28|Baasha killed him in the third year of Asa king of Judah and became king in his place.|Preserves murder and accession date.
15:29|As soon as he became king, he struck down Jeroboam’s whole house. He left Jeroboam no one breathing, destroying them all, just as the LORD had said through his servant Ahijah of Shiloh.|Keeps total household destruction explicit.
15:30|This happened because of Jeroboam’s sins, which he committed and led Israel to commit, provoking the LORD, Israel’s God, to anger.|Retains the narrator’s causal explanation.
15:31|The rest of Nadab’s history and all he did—are they not written in the Book of the Annals of Israel’s Kings?|Preserves the formula rather than omitting repetition.
15:32|There was war between Asa and Baasha king of Israel throughout their days.|Retains the exact repeated war notice.
15:33|In the third year of Asa king of Judah, Baasha son of Ahijah became king over all Israel at Tirzah. He ruled twenty-four years.|Preserves capital, accession and duration.
15:34|He did evil in the LORD’s eyes, following Jeroboam’s way and the sin by which Jeroboam had led Israel into sin.|Keeps the new dynasty’s continuation of the same sin.
16:1|The word of the LORD came to Jehu son of Hanani against Baasha:|Identifies this Jehu through his father and prophetic role.
16:2|“I raised you from the dust and made you leader over my people Israel. But you followed Jeroboam’s way and led my people Israel into sin, provoking me to anger with their sins.|Preserves dust-to-leadership contrast.
16:3|Now I will sweep away Baasha and his house. I will make your house like the house of Jeroboam son of Nebat.|Keeps the shift from third-person Baasha to direct your.
16:4|Dogs will eat anyone of Baasha’s house who dies in the city, and the birds of the sky will eat anyone who dies in the open country.”|Preserves the repeated city/country judgment.
16:5|The rest of Baasha’s history, what he did, and his mighty deeds—are they not written in the Book of the Annals of Israel’s Kings?|Keeps all annal categories.
16:6|Baasha lay down with his ancestors and was buried in Tirzah. His son Elah became king in his place.|Preserves burial and succession.
16:7|The LORD’s word also came through the prophet Jehu son of Hanani against Baasha and his house, because of all the evil he did in the LORD’s eyes, provoking him with the work of his hands and becoming like Jeroboam’s house—and because he struck that house down.|Keeps the tension between fulfilling judgment and being judged for the slaughter.
16:8|In the twenty-sixth year of Asa king of Judah, Elah son of Baasha became king over Israel at Tirzah. He ruled two years.|Retains accession, capital and duration.
16:9|His servant Zimri, commander of half his chariots, conspired against him. Elah was in Tirzah, drinking himself drunk in the house of Arza, who managed the palace there.|Clarifies Elah as the drinker and Arza’s office.
16:10|Zimri entered, struck him down, and killed him in the twenty-seventh year of Asa king of Judah. He became king in Elah’s place.|Keeps execution and regnal timing explicit.
16:11|As soon as he became king and sat on the throne, he struck down Baasha’s whole house. He left him no male who urinates against a wall, no relative, and no friend.|Retains the coarse idiom and wider circle of victims.
16:12|Zimri destroyed Baasha’s whole house, just as the LORD had spoken against Baasha through Jehu the prophet,|Preserves the fulfillment formula.
16:13|because of all the sins of Baasha and his son Elah, which they committed and led Israel to commit, provoking the LORD, Israel’s God, with their worthless idols.|Keeps both generations and worthlessness language.
16:14|The rest of Elah’s history and all he did—are they not written in the Book of the Annals of Israel’s Kings?|Retains the annal refrain.
16:15|In the twenty-seventh year of Asa king of Judah, Zimri ruled seven days in Tirzah. The troops were encamped against Gibbethon, which belonged to the Philistines.|Keeps the exceptionally brief reign and army location.
16:16|The troops in camp heard, “Zimri has conspired and killed the king.” That very day, in the camp, all Israel made Omri, the army commander, king over Israel.|Preserves the reported coup and immediate rival accession.
16:17|Omri and all Israel with him left Gibbethon and besieged Tirzah.|Keeps the army’s shift of target.
16:18|When Zimri saw that the city had been captured, he went into the citadel of the king’s house and set the palace on fire over himself. He died|Preserves self-initiated fatal fire without added motive.
16:19|because of the sins he had committed, doing evil in the LORD’s eyes, following Jeroboam’s way and the sin by which he led Israel into sin.|Keeps the narrator’s causal evaluation across the verse boundary.
16:20|The rest of Zimri’s history and the conspiracy he carried out—are they not written in the Book of the Annals of Israel’s Kings?|Retains conspiracy as the named annal subject.
16:21|Then Israel’s people split in two. Half followed Tibni son of Ginath to make him king, and half followed Omri.|Keeps both factions and the claimant’s patronymic.
16:22|Omri’s followers prevailed over the followers of Tibni son of Ginath. Tibni died, and Omri became king.|Does not invent the cause of Tibni’s death.
16:23|In the thirty-first year of Asa king of Judah, Omri became king over Israel. He ruled twelve years, six of them in Tirzah.|Preserves the second accession date and both durations.
16:24|He bought the hill of Samaria from Shemer for two talents of silver and built on it. He named the city he built Samaria after Shemer, the hill’s owner.|Keeps price and name explanation.
16:25|Omri did evil in the LORD’s eyes, more evil than all who came before him.|Retains the escalating evaluation.
16:26|He followed Jeroboam son of Nebat in all his ways and in the sin by which he led Israel into sin, provoking the LORD, Israel’s God, with their worthless idols.|Follows singular read sin and keeps induced wrongdoing.
16:27|The rest of Omri’s history, what he did, and the mighty deeds he accomplished—are they not written in the Book of the Annals of Israel’s Kings?|Preserves the annal categories.
16:28|Omri lay down with his ancestors and was buried in Samaria. His son Ahab became king in his place.|Keeps the new burial capital and succession.
16:29|Ahab son of Omri became king over Israel in the thirty-eighth year of Asa king of Judah. Ahab son of Omri ruled Israel from Samaria for twenty-two years.|Retains the repeated full name and chronological data.
16:30|Ahab son of Omri did more evil in the LORD’s eyes than all who came before him.|Preserves the further escalation.
16:31|As though following the sins of Jeroboam son of Nebat were a small thing, he married Jezebel daughter of Ethbaal king of the Sidonians. He went and served Baal and bowed down to him.|Keeps Ahab’s actions and the named marriage alliance.
16:32|He set up an altar for Baal in the house of Baal he built in Samaria.|Retains altar, temple and capital.
16:33|Ahab also made an Asherah pole. He did more to provoke the LORD, Israel’s God, than all the kings of Israel before him.|Keeps cult object and superlative judgment.
16:34|In his days Hiel of Bethel rebuilt Jericho. He laid its foundations at the cost of Abiram his firstborn and set up its gates at the cost of Segub his youngest, just as the LORD had spoken through Joshua son of Nun.|Preserves the sons’ loss without asserting an unmentioned sacrificial mechanism.
17:1|Elijah the Tishbite, one of the inhabitants of Gilead, said to Ahab, “As the LORD, Israel’s God, lives, whom I serve, there will be neither dew nor rain these years except at my word.”|Keeps the pinned inhabitant description and dew/rain oath.
17:2|The word of the LORD came to him:|Retains the new divine instruction.
17:3|“Leave here, turn east, and hide by the Wadi Cherith, east of the Jordan.|Preserves direction and hiding place.
17:4|You will drink from the wadi. I have commanded the ravens to feed you there.”|Keeps ravens rather than reinterpreting them as people.
17:5|He went and did as the LORD said, settling by the Wadi Cherith east of the Jordan.|Retains obedient action and repeated location.
17:6|The ravens brought him bread and meat in the morning and bread and meat in the evening. He drank from the wadi.|Preserves both repeated meals and water source.
17:7|After a time the wadi dried up, because no rain had fallen in the land.|Keeps the prophet affected by the drought.
17:8|Then the word of the LORD came to him:|Retains the repeated word formula.
17:9|“Get up and go to Zarephath, which belongs to Sidon, and stay there. I have commanded a widow there to feed you.”|Preserves foreign territory and widow’s role.
17:10|He went to Zarephath. At the town’s entrance a widow was gathering sticks. He called to her, “Please bring me a little water in a vessel so I can drink.”|Keeps the encounter and modest first request.
17:11|As she went to get it, he called after her, “Please bring me a piece of bread too.”|Preserves the additional demand while she is already moving.
17:12|She said, “As the LORD your God lives, I have no baked bread—only a handful of flour in a jar and a little oil in a jug. I am gathering a couple of sticks to go and prepare it for myself and my son. We will eat it, and then we will die.”|Keeps her oath, scarcity and stark expectation of death.
17:13|Elijah told her, “Do not be afraid. Go and do as you said. But first make me a small cake from it and bring it out to me. Afterward make something for yourself and your son.|Retains the unsettling first claim on scarce food.
17:14|For this is what the LORD, Israel’s God, says: ‘The jar of flour will not run out, and the jug of oil will not fail, until the day the LORD sends rain on the ground.’”|Keeps the two provisions and bounded duration.
17:15|She went and did as Elijah said. She, he, and her household ate for many days.|Follows the read she/he order and includes household.
17:16|The jar of flour did not run out, and the jug of oil did not fail, just as the LORD had said through Elijah.|Preserves the promise’s repeated wording.
17:17|After this, the son of the woman who owned the house became ill. His illness grew so severe that no breath remained in him.|Retains the woman’s household role and the absence of breath.
17:18|She said to Elijah, “What have you to do with me, man of God? Have you come to bring my guilt to mind and kill my son?”|Keeps accusation as the grieving woman’s question.
17:19|“Give me your son,” he said. He took him from her arms, carried him to the upper room where he was staying, and laid him on his bed.|Preserves the physical movement and upper-room setting.
17:20|He cried to the LORD, “LORD my God, have you brought disaster even on this widow with whom I am staying, by killing her son?”|Does not soften Elijah’s accusation toward God.
17:21|He stretched himself over the child three times and cried to the LORD, “LORD my God, please let this child’s life return into him.”|Retains bodily action, count and returning life without a doctrinal gloss.
17:22|The LORD heard Elijah’s voice. The child’s life returned into him, and he lived.|Keeps hearing and restored life in sequence.
17:23|Elijah took the child down from the upper room into the house and gave him to his mother. “Look,” he said, “your son is alive.”|Preserves return to the mother and direct announcement.
17:24|The woman said to Elijah, “Now I know that you are a man of God and that the LORD’s word in your mouth is true.”|Keeps recognition and word-in-mouth imagery.
18:1|After a long time, in the third year, the word of the LORD came to Elijah: “Go, show yourself to Ahab. I will send rain on the ground.”|Preserves third year without importing another duration.
18:2|Elijah went to show himself to Ahab. The famine in Samaria was severe.|Keeps response and famine setting.
18:3|Ahab summoned Obadiah, who managed the palace. Obadiah deeply feared the LORD.|Retains royal service alongside devotion to the LORD.
18:4|When Jezebel was cutting down the LORD’s prophets, Obadiah had hidden a hundred of them in caves, fifty to a cave, and supplied them with bread and water.|Keeps killing, protection, counts and provisions.
18:5|Ahab told Obadiah, “Go through the land to every spring and every wadi. Perhaps we can find grass and keep the horses and mules alive, so we will not have to destroy any of the animals.”|Retains the animal-preservation concern and uncertain loss/destruction sense.
18:6|They divided the land between them to search it. Ahab went one way by himself, and Obadiah another.|Keeps separate routes and repeated solitude.
18:7|As Obadiah went along, Elijah met him. He recognized him, fell facedown, and said, “Is it really you, my lord Elijah?”|Retains recognition and bodily deference.
18:8|“It is,” he replied. “Go, tell your lord, ‘Elijah is here.’”|Keeps the contrasting my/your lord dialogue.
18:9|Obadiah said, “What sin have I committed that you would hand your servant over to Ahab to kill me?|Preserves the fearful accusation as a question.
18:10|As the LORD your God lives, there is no nation or kingdom where my lord has not sent to look for you. Whenever they said, ‘He is not here,’ he made that kingdom or nation swear they could not find you.|Retains the oath and universal search claim.
18:11|And now you say, ‘Go, tell your lord, “Elijah is here.”’|Keeps the first repeated protest.
18:12|As soon as I leave you, the LORD’s Spirit may carry you somewhere I do not know. If I tell Ahab and he cannot find you, he will kill me. Yet your servant has feared the LORD since my youth.|Keeps the feared Spirit action hypothetical.
18:13|Has my lord not been told what I did when Jezebel killed the LORD’s prophets? I hid a hundred of the LORD’s prophets in caves, fifty to a cave, and supplied them with bread and water.|Retains the full retelling of protective action.
18:14|And now you say, ‘Go, tell your lord, “Elijah is here.”’ He will kill me!”|Keeps the repeated protest and lethal fear.
18:15|Elijah said, “As the LORD of Armies lives, whom I serve, I will show myself to Ahab today.”|Retains the oath’s title and today assurance.
18:16|Obadiah went to meet Ahab and told him, and Ahab went to meet Elijah.|Preserves the two meetings in sequence.
18:17|When Ahab saw Elijah, he said, “Is that you, the one bringing trouble on Israel?”|Makes the accusation natural while preserving trouble language.
18:18|Elijah answered, “I have not brought trouble on Israel. You and your father’s house have, by abandoning the LORD’s commands and following the Baals.|Retains reversal of blame and plural Baals.
18:19|Now summon all Israel to meet me on Mount Carmel, along with Baal’s four hundred fifty prophets and Asherah’s four hundred prophets, who eat at Jezebel’s table.”|Keeps both prophetic groups and patronage.
18:20|Ahab sent throughout Israel and assembled the prophets on Mount Carmel.|Retains the response without adding attendance details for each group.
18:21|Elijah approached all the people and said, “How long will you limp between two sides? If the LORD is God, follow him. If Baal is, follow him.” The people answered him not a word.|Keeps the limping image and collective silence.
18:22|Then Elijah said, “I alone remain as a prophet of the LORD, but Baal has four hundred fifty prophets.|Leaves alone as Elijah’s claim beside Obadiah’s preserved prophets.
18:23|Let two bulls be brought to us. Let them choose one, cut it up, and place it on the wood, but light no fire. I will prepare the other bull and place it on the wood, and I will light no fire.|Preserves both preparations and repeated prohibition.
18:24|You call on your god’s name, and I will call on the LORD’s name. The God who answers with fire is God.” All the people answered, “That is good.”|Keeps the agreed criterion and Name contrast.
18:25|Elijah told Baal’s prophets, “Choose one bull and prepare it first, since there are so many of you. Call on your god’s name, but light no fire.”|Retains their priority and repeated instruction.
18:26|They took the bull given to them and prepared it. From morning until noon they called on Baal’s name: “Baal, answer us!” But there was no voice, no answer. They limped around the altar that had been made.|Preserves limping’s echo and the first no-answer refrain.
18:27|At noon Elijah mocked them: “Call louder! He is a god, after all. Perhaps he is thinking, or relieving himself, or away on a journey. Perhaps he is asleep and must wake up.”|Keeps mockery and the possible bodily euphemism with uncertainty noted.
18:28|They shouted louder and cut themselves with swords and spears, as was their custom, until blood poured over them.|Retains real bodily harm without expanding it.
18:29|After noon they continued prophesying until the time of the offering. But there was no voice, no answer, no one paying attention.|Keeps prophetic terminology and the threefold failed response.
18:30|Elijah told all the people, “Come closer to me.” They came, and he repaired the LORD’s altar, which had been torn down.|Keeps gathering and restoration of the altar.
18:31|Elijah took twelve stones, one for each tribe of Jacob’s sons—Jacob, to whom the LORD had said, “Your name will be Israel.”|Preserves twelve tribes and the renaming link.
18:32|With the stones he built an altar in the LORD’s name. Around it he made a trench large enough to hold two seahs of seed.|Keeps the seed measure without assuming a geometric conversion.
18:33|He arranged the wood, cut up the bull, and laid it on the wood.|Follows this original Hebrew record’s contents; water command remains in the next record.
18:34|He said, “Fill four jars with water and pour it over the burnt offering and the wood.” Then he said, “Do it again.” They did it again. “A third time,” he said, and they did it a third time.|Keeps the complete water command with its original Hebrew verse binding.
18:35|The water ran around the altar, and he filled the trench with water too.|Retains both overflow and filled trench.
18:36|At the time of the offering, Elijah the prophet approached and said, “LORD, God of Abraham, Isaac, and Israel, let it be known today that you are God in Israel, that I am your servant, and that I have done all this at your word.|Retains Israel rather than substituting Jacob and follows singular read word.
18:37|Answer me, LORD, answer me, so these people may know that you, LORD, are God, and that you have turned their hearts back.”|Keeps doubled petition and consequential heart-turning ambiguity in a note.
18:38|Then the LORD’s fire fell. It consumed the burnt offering, the wood, the stones, and the dust, and licked up the water in the trench.|Preserves every consumed element and licking image.
18:39|When all the people saw it, they fell facedown and said, “The LORD is God! The LORD is God!”|Retains the doubled confession.
18:40|Elijah told them, “Seize Baal’s prophets! Do not let one escape.” They seized them, and Elijah brought them down to the Wadi Kishon and slaughtered them there.|Keeps Elijah’s agency and slaughter explicit.
