1:1|The record of the origins of Jesus the Messiah, son of David, son of Abraham.|Keeps genesis/origins broader than a mere name list and preserves the two defining ancestral titles.
13:40|Just as darnel is gathered and burned in fire, so it will be at the completion of the age.|Keeps the repeated age ending and the actual burning image.
13:41|The Son of Man will send his angels, and they will gather out of his kingdom everything that causes stumbling and everyone who practices lawlessness.|Preserves causes and persons as distinguishable objects of removal.
13:42|They will throw them into the blazing furnace. There will be weeping and grinding of teeth.|Keeps the furnace and established judgment refrain.
13:43|Then the righteous will shine like the sun in their Father’s kingdom. Let anyone with ears listen.|Retains brightness, Father relationship, and listening refrain.
13:44|“The kingdom of heaven is like treasure hidden in a field. A man found it and hid it again. In his joy he goes and sells everything he has and buys that field.|Keeps joy as motive and does not supply an ethical verdict absent from the parable.
13:45|“Again, the kingdom of heaven is like a merchant searching for fine pearls.|Preserves the kingdom’s comparison to the searching merchant.
13:46|When he found one pearl of great value, he went and sold everything he had and bought it.|Keeps the one pearl and total sale distinct from the prior field story.
13:47|“Again, the kingdom of heaven is like a dragnet thrown into the sea that gathered fish of every kind.|Retains the net type and comprehensive mixture.
13:48|When it was full, they pulled it ashore, sat down, and sorted the good fish into containers, throwing the worthless ones away.|Preserves fullness, sorting posture, and opposed destinations.
13:49|So it will be at the completion of the age. The angels will come out and separate the evil from among the righteous|Keeps the interpretation’s agents and direction of separation.
13:50|and throw them into the blazing furnace. There will be weeping and grinding of teeth.|Repeats the exact judgment refrain from the earlier explanation.
13:51|“Have you understood all these things?” They answered him, “Yes.”|Follows the pinned short answer without adding Lord.
13:52|He said to them, “So every scribe trained as a disciple of the kingdom of heaven is like a householder who brings out new things and old from his store.”|Retains scribal learning and both new and old without replacing one with the other.
13:53|When Jesus finished these parables, he left that place.|Keeps the formal discourse conclusion.
13:54|He came to his hometown and taught in their synagogue. They were astonished and said, “Where did this man get this wisdom and these mighty works?|Preserves the paired sources of astonishment.
13:55|Isn’t this the carpenter’s son? Isn’t his mother called Mary, and aren’t his brothers James, Joseph, Simon, and Judas?|Retains the trade, mother, and all four named brothers in source order.
13:56|And aren’t all his sisters here with us? Then where did he get all this?”|Preserves the unnamed sisters and repeated origin question.
13:57|They took offense at him. But Jesus told them, “A prophet is not without honor except in his hometown and his own household.”|Keeps the offense and the two exceptions to honor.
13:58|He did not do many mighty works there because of their unbelief.|Preserves did not rather than could not and the stated causal link.
14:1|At that time Herod the tetrarch heard the reports about Jesus.|Retains the precise office for vocabulary explanation.
14:2|He told his servants, “This is John the Baptist. He has been raised from the dead, and that is why miraculous powers are at work in him.”|Attributes the resurrection inference to Herod.
14:3|Herod had arrested John, bound him, and put him in prison because of Herodias, the wife of his brother Philip.|Preserves the retrospective sequence and named relationship.
14:4|For John had been telling him, “You are not permitted to have her.”|Keeps repeated protest and the legal wording without an added rationale.
14:5|Herod wanted to kill him but feared the crowd, because they regarded John as a prophet.|Preserves Herod’s murderous wish and political restraint.
14:6|At Herod’s birthday celebration, Herodias’s daughter danced before the company and pleased Herod.|Keeps the unnamed daughter and avoids adding sexual description.
14:7|So he promised under oath to give her whatever she asked.|Retains the unrestricted promise and binding oath.
14:8|Prompted by her mother, she said, “Give me John the Baptist’s head here on a platter.”|Keeps the mother’s agency and graphic demand.
14:9|The king was distressed, but because of his oaths and his dinner guests, he ordered it to be given.|Preserves the narrator’s king designation and both motives.
14:10|He sent orders and had John beheaded in prison.|Makes the causative action clear without hiding responsibility.
14:11|John’s head was brought on a platter and given to the girl, and she carried it to her mother.|Retains each transfer of the severed head.
14:12|John’s disciples came, took the body, and buried him. Then they went and told Jesus.|Clarifies whose disciples and preserves burial before reporting.
14:13|When Jesus heard, he withdrew by boat to a deserted place to be alone. The crowds heard about it and followed him on foot from the towns.|Keeps the withdrawal and contrasting means of travel.
14:14|When he came ashore, he saw a large crowd. Moved with compassion for them, he healed their sick.|Preserves compassion as the stated motive.
14:15|When evening came, the disciples approached him. “This is a deserted place, and it is already late,” they said. “Send the crowds away so they can go to the villages and buy food for themselves.”|Retains both practical concerns and proposed action.
14:16|Jesus told them, “They don’t need to go away. You give them something to eat.”|Preserves the emphatic you and direct responsibility.
14:17|They answered, “All we have here are five loaves and two fish.”|Keeps exact quantities and their limiting assessment.
14:18|“Bring them here to me,” he said.|Retains the short directive’s destination.
14:19|He told the crowds to recline on the grass. Taking the five loaves and two fish, he looked up to heaven and spoke a blessing. He broke the loaves and gave them to the disciples, and the disciples gave them to the crowds.|Preserves quantities, blessing, and the distribution chain.
14:20|Everyone ate and was satisfied. They gathered the leftover pieces—twelve full baskets.|Keeps universal satisfaction and exact surplus.
14:21|About five thousand men ate, besides women and children.|Preserves approximate male count and uncounted additional people.
14:22|Immediately he made the disciples get into the boat and go ahead of him to the other side while he dismissed the crowds.|Keeps urgency and the force of made.
14:23|After dismissing the crowds, he went up the mountain alone to pray. When evening came, he was there by himself.|Preserves repeated solitude and purpose.
14:24|The boat was already many stadia from land, battered by waves because the wind was against it.|Retains the pinned distance reading and ancient unit.
14:25|In the fourth watch of the night, he came toward them, walking on the sea.|Preserves the watch designation and extraordinary action.
14:26|When the disciples saw him walking on the sea, they were terrified. “It’s a ghost!” they said, and cried out in fear.|Keeps their interpretation distinct from the narrator’s account.
14:27|Jesus spoke to them at once: “Take courage! It is I. Do not be afraid.”|Preserves the recognition phrase without forcing a divine-name identification.
14:28|Peter answered him, “Lord, if it is you, command me to come to you on the water.”|Keeps the conditional request and command rather than permission alone.
14:29|“Come,” he said. Peter climbed out of the boat, walked on the water, and came toward Jesus.|Preserves Peter’s actual walking and direction.
14:30|But when he saw the strong wind, he became afraid. Beginning to sink, he cried, “Lord, save me!”|Keeps the pinned strong and urgent repeated salvation plea.
14:31|Jesus immediately reached out his hand and caught him. “You of little faith,” he said, “why did you doubt?”|Retains rescue before rebuke and little faith rather than no faith.
14:32|When they climbed into the boat, the wind died down.|Keeps the plural return and timing of calm.
14:33|Those in the boat worshiped him, saying, “Truly you are God’s Son.”|Renders proskyneo as worship in the explicit confession context.
14:34|They crossed over and came ashore at Gennesaret.|Retains the named landing place.
14:35|The men of that place recognized him and sent word throughout the surrounding region. They brought him everyone who was sick|Keeps local recognition and the comprehensive gathering.
14:36|and begged him to let them touch just the fringe of his garment. Everyone who touched it was made well.|Retains the fringe echo and universal result.
15:1|Then Pharisees and scribes came to Jesus from Jerusalem and asked,|Keeps the origin and source order of groups.
15:2|“Why do your disciples break the tradition of the elders? They don’t wash their hands when they eat.”|Preserves the tradition issue without treating it as modern hygiene.
15:3|He answered them, “Why do you break God’s command because of your tradition?|Keeps the counterquestion and command/tradition distinction.
15:4|For God said, ‘Honor your father and mother,’ and, ‘Whoever curses father or mother must be put to death.’|Retains both quoted commands including the severe penalty.
15:5|But you say that anyone may tell father or mother, ‘Whatever help you might have received from me is a gift devoted to God,’|Unfolds the compact gift formula with its religious implication.
15:6|and need not honor their father. So you have nullified God’s word because of your tradition.|Follows the pinned father-only wording and word rather than command variant.
15:7|Hypocrites! Isaiah prophesied well about you when he said,|Preserves the sharp address and quotation introduction.
15:8|‘This people honors me with their lips,\nbut their heart is far from me.|Keeps lips/heart distance imagery as poetry.
15:9|Their worship of me is empty,\nfor they teach human commands as doctrines.’”|Preserves the cause of empty worship without attacking all tradition.
15:10|He called the crowd to him and said, “Listen and understand.|Keeps the paired invitation to hearing and comprehension.
15:11|What goes into the mouth does not defile a person. What comes out of the mouth is what defiles a person.”|Retains repeated mouth and defile terminology.
15:12|Then the disciples came and asked him, “Do you know the Pharisees took offense when they heard that?”|Keeps the disciples’ concern and reported reaction.
15:13|He answered, “Every plant my heavenly Father did not plant will be uprooted.|Preserves the planting metaphor and divine agency.
15:14|Leave them alone. They are blind guides of the blind. If one blind person leads another, both will fall into a pit.”|Keeps the ancient metaphor and shared outcome without adding a medical claim.
15:15|Peter said to him, “Explain this parable to us.”|Preserves the request for communal understanding.
15:16|He answered, “Are you still without understanding too?|Keeps the rebuke’s still and too.
15:17|Don’t you understand that everything entering the mouth goes into the stomach and is expelled into the latrine?|Retains the bodily process and blunt ancient sanitation term.
15:18|But what comes out of the mouth comes from the heart, and that is what defiles a person.|Preserves heart as the source of expressed evil.
15:19|For from the heart come evil thoughts, murders, adulteries, sexual immoralities, thefts, false testimonies, and slanders.|Keeps all seven plural categories without collapsing sexual terms together.
15:20|These are what defile a person. Eating with unwashed hands does not defile a person.”|Returns explicitly to the dispute’s actual practice.
15:21|Jesus left that place and withdrew to the region of Tyre and Sidon.|Keeps both place names and withdrawal.
15:22|A Canaanite woman from that region came out, crying, “Have mercy on me, Lord, Son of David! My daughter is suffering terribly from a demon.”|Preserves Matthew’s ethnic designation, title, and severe suffering.
15:23|He did not answer her a word. His disciples came and urged him, “Send her away; she keeps shouting after us.”|Retains the silence and disciples’ ambiguous send-away request.
15:24|He answered, “I was sent only to the lost sheep of the house of Israel.”|Keeps the restrictive mission claim and recurring sheep language.
15:25|But she came and bowed before him. “Lord, help me,” she said.|Preserves her persistence and concise plea.
15:26|He answered, “It is not right to take the children’s bread and throw it to the little dogs.”|Retains the harsh comparison and diminutive without softening it into affection.
15:27|“Yes, Lord,” she said, “for even the little dogs eat the crumbs that fall from their masters’ table.”|Keeps her affirmative response and resourceful continuation of the image.
15:28|Then Jesus answered her, “Woman, your faith is great! Let it happen for you as you wish.” And her daughter was healed from that moment.|Preserves emphatic great faith and immediate healing.
15:29|Jesus moved on from there and came beside the Sea of Galilee. He went up the mountain and sat down.|Keeps geography and posture without inventing a route.
15:30|Large crowds came to him, bringing people unable to speak, blind people, lame people, people with impaired limbs, and many others. They laid them at his feet, and he healed them.|Retains all groups in pinned order and avoids making kyllos a specific diagnosis.
15:31|The crowd was amazed to see those unable to speak speaking, impaired limbs made healthy, the lame walking, and the blind seeing. They glorified the God of Israel.|Keeps each outcome and the specific divine designation.
15:32|Jesus called his disciples to him. “I have compassion for the crowd,” he said. “They have stayed with me for three days now and have nothing to eat. I don’t want to send them away hungry; they might collapse on the road.”|Preserves duration, compassion, and the physical risk.
15:33|The disciples asked him, “Where could we find enough bread in this wilderness to satisfy a crowd this large?”|Keeps their practical question without supplying narrative criticism.
15:34|Jesus asked them, “How many loaves do you have?” “Seven,” they said, “and a few small fish.”|Retains quantities distinct from the first feeding.
15:35|He instructed the crowd to recline on the ground.|Preserves ground rather than importing grass.
15:36|He took the seven loaves and the fish, gave thanks, broke them, and kept giving them to the disciples. The disciples gave them to the crowds.|Retains thanksgiving and sustained distribution.
15:37|Everyone ate and was satisfied. They gathered the leftover pieces—seven full large baskets.|Keeps seven and distinguishes spyris from the earlier basket term.
15:38|Four thousand men ate, besides women and children.|Retains the male count and additional uncounted groups.
15:39|After dismissing the crowds, he got into the boat and came to the region of Magadan.|Preserves the pinned place name rather than Magdala.
16:1|The Pharisees and Sadducees came to test him. They asked him to show them a sign from heaven.|Retains both groups and their stated testing motive.
16:2|He answered, “In the evening you say, ‘Fair weather—the sky is red.’|Translates the passage printed in the pinned edition while flagging its textual status in notes.
16:3|And in the morning, ‘Stormy weather today—the sky is red and threatening.’ You know how to read the sky’s appearance, but you cannot read the signs of the times.|Preserves both weather judgments and the interpretive contrast.
16:4|An evil and adulterous generation demands a sign, but no sign will be given to it except the sign of Jonah.” Then he left them and went away.|Keeps the repeated sign saying without importing prophet into this version.
16:5|The disciples reached the other side but had forgotten to bring bread.|Preserves the practical omission that prompts misunderstanding.
16:6|Jesus told them, “Be watchful. Beware of the leaven of the Pharisees and Sadducees.”|Keeps both cautions and the metaphor for later explanation.
16:7|They discussed it among themselves: “We didn’t bring bread.”|Preserves the disciples’ literal interpretation.
16:8|Jesus knew what they were saying. “You of little faith,” he said, “why are you discussing among yourselves that you didn’t bring bread?|Retains little faith and the repeated bread concern.
16:9|Do you still not understand? Don’t you remember the five loaves for the five thousand, and how many baskets you gathered?|Preserves the first feeding’s exact figures and unanswered basket question.
16:10|Or the seven loaves for the four thousand, and how many large baskets you gathered?|Preserves the second feeding and distinct basket word.
16:11|How can you not understand that I wasn’t speaking to you about bread? Beware of the leaven of the Pharisees and Sadducees.”|Keeps the correction and repeated warning.
16:12|Then they understood: he had told them to beware of the teaching of the Pharisees and Sadducees, not the leaven in bread.|Makes the narrator’s stated interpretation clear.
16:13|When Jesus came to the region of Caesarea Philippi, he asked his disciples, “Who do people say the Son of Man is?”|Keeps the pinned title rather than replacing it with me.
16:14|They answered, “Some say John the Baptist; others, Elijah; still others, Jeremiah or one of the prophets.”|Preserves all alternatives and named figures.
16:15|“But you,” he asked, “who do you say I am?”|Keeps the emphatic plural you as a direct challenge.
16:16|Simon Peter answered, “You are the Messiah, the Son of the living God.”|Retains both titles and living.
16:17|Jesus answered him, “Blessed are you, Simon son of Jonah. Flesh and blood did not reveal this to you, but my Father in heaven.|Preserves patronymic and flesh-and-blood idiom.
16:18|And I tell you: you are Peter, and on this rock I will build my church. The gates of Hades will not overpower it.|Keeps Peter/rock connection, church, and gates without settling institutional interpretations.
16:19|I will give you the keys of the kingdom of heaven. Whatever you bind on earth will be bound in heaven, and whatever you release on earth will be released in heaven.”|Preserves binding/releasing metaphor and future perfect ambiguity for a note.
16:20|Then he strictly instructed the disciples to tell no one that he was the Messiah.|Keeps the force and exact content of the prohibition.
16:21|From then on Jesus began showing his disciples that he must go to Jerusalem, suffer much from the elders, chief priests, and scribes, be killed, and be raised on the third day.|Retains necessity, responsible groups, and resurrection timing.
16:22|Peter took him aside and began rebuking him: “God forbid, Lord! This will never happen to you.”|Renders the mercy idiom naturally and retains Peter’s emphatic denial.
16:23|But he turned and told Peter, “Get behind me, Satan! You are a stumbling block to me, because your mind is on human concerns, not God’s.”|Preserves severe address and the rock-to-stumbling-block tension.
16:24|Then Jesus told his disciples, “If anyone wants to come after me, they must deny themselves, take up their cross, and follow me.|Keeps all three actions and the execution image.
16:25|For whoever wants to save their life will lose it, but whoever loses their life because of me will find it.|Preserves the life paradox and qualification.
16:26|What good will it do a person to gain the whole world but forfeit their life? What can anyone give in exchange for their life?|Uses life consistently for psyche while retaining both exchange questions.
16:27|For the Son of Man is going to come in his Father’s glory with his angels. Then he will repay each person according to what that person has done.|Preserves coming, companions, and individual recompense.
16:28|Truly I tell you, some standing here will certainly not taste death before they see the Son of Man coming in his kingdom.”|Keeps the temporal difficulty and death-tasting image without resolving the referent.
17:1|Six days later, Jesus took Peter, James, and James’s brother John with him and led them up a high mountain by themselves.|Preserves exact interval, names, and relationship.
17:2|He was transformed before them. His face shone like the sun, and his clothes became white as light.|Retains passive transformation and both comparisons.
17:3|Then Moses and Elijah appeared to them, speaking with him.|Keeps both figures and the witnesses to the appearance.
17:4|Peter said to Jesus, “Lord, it is good for us to be here. If you wish, I will make three shelters here: one for you, one for Moses, and one for Elijah.”|Follows singular I will and all three allocations.
17:5|While he was still speaking, a bright cloud overshadowed them. A voice from the cloud said, “This is my beloved Son, in whom I delight. Listen to him.”|Preserves interrupted speech, bright shadowing, and the listening command.
17:6|When the disciples heard it, they fell facedown, terrified.|Keeps the bodily response and intense fear.
17:7|Jesus came, touched them, and said, “Get up. Do not be afraid.”|Preserves touch before reassurance.
17:8|When they looked up, they saw no one except Jesus alone.|Retains the emphatic solitary figure.
17:9|As they came down the mountain, Jesus commanded them, “Tell no one about the vision until the Son of Man has been raised from the dead.”|Keeps vision and the time-limited silence.
17:10|The disciples asked him, “Why then do the scribes say Elijah must come first?”|Preserves necessity and priority in the question.
17:11|He answered, “Elijah is indeed coming and will restore everything.|Keeps the future statement alongside the following already.
17:12|But I tell you, Elijah has already come. They did not recognize him and did whatever they wanted to him. In the same way, the Son of Man is going to suffer at their hands.”|Preserves nonrecognition and the suffering parallel.
17:13|Then the disciples understood that he was speaking to them about John the Baptist.|Retains the narrator’s explicit identification.
17:14|When they came to the crowd, a man approached Jesus, knelt before him,|Keeps the petitioner’s posture and continues his speech across the label.
17:15|and said, “Lord, have mercy on my son. He has seizures and suffers terribly; he often falls into fire and often into water.|Renders the ancient moon-struck term symptomatically without making all seizures demonic.
17:16|I brought him to your disciples, but they could not heal him.”|Keeps the father’s report of failed healing.
17:17|Jesus answered, “Unbelieving and twisted generation! How long must I be with you? How long must I put up with you? Bring him here to me.”|Preserves rebuke, doubled duration question, and command.
17:18|Jesus rebuked it, and the demon came out of the boy. From that moment the boy was healed.|Resolves the rebuked pronoun contextually while retaining the explicit demon and healing.
17:19|Then the disciples came to Jesus privately and asked, “Why couldn’t we drive it out?”|Keeps private inquiry and their emphatic inability.
17:20|He told them, “Because of your little faith. Truly I tell you, if you have faith like a mustard seed, you will tell this mountain, ‘Move from here to there,’ and it will move. Nothing will be impossible for you.”|Follows little faith and preserves the bold mountain claim without a missing verse addition.
17:22|While they were gathering in Galilee, Jesus told them, “The Son of Man is going to be handed over into human hands.|Follows gathering and retains the wordplay between Son of Man and human hands.
17:23|They will kill him, and on the third day he will be raised.” They were deeply distressed.|Keeps resurrection timing and the disciples’ actual response.
17:24|When they reached Capernaum, the collectors of the two-drachma tax approached Peter. “Doesn’t your teacher pay the two-drachma tax?” they asked.|Retains the precise tax rather than confusing it with Roman tribute.
17:25|“Yes,” he said. When he entered the house, Jesus spoke first: “What do you think, Simon? From whom do earthly kings collect customs or tribute—from their sons or from others?”|Preserves Jesus’ initiative and the distinction between sons and others.
17:26|“From others,” he answered. Jesus told him, “Then the sons are free.|Keeps the immediate conclusion about exemption.
17:27|But so that we do not cause them to stumble, go to the sea and cast a hook. Take the first fish you catch, and when you open its mouth you will find a stater. Take it and give it to them for me and you.”|Preserves all instructions, coin name, and payment for both without narrating an unreported fulfillment.
18:1|At that time the disciples came to Jesus and asked, “Who, then, is greatest in the kingdom of heaven?”|Preserves the comparative status question.
18:2|He called a child over and stood the child among them.|Keeps the enacted lesson before its explanation.
18:3|“Truly I tell you,” he said, “unless you turn and become like children, you will never enter the kingdom of heaven.|Preserves turning and emphatic exclusion before the greatness answer.
18:4|So whoever humbles themselves like this child is greatest in the kingdom of heaven.|Keeps humility as the explicit point of comparison.
18:5|And whoever welcomes one such child in my name welcomes me.|Retains one and the representative welcome.
18:6|“But if anyone causes one of these little ones who believe in me to stumble, it would be better for that person to have a great millstone hung around their neck and be drowned in the open sea.|Preserves believers, stumbling, and the severe drowning image.
18:7|Woe to the world because of stumbling blocks! Stumbling blocks are bound to come, but woe to the person through whom one comes.|Keeps inevitability distinct from individual responsibility.
18:8|If your hand or foot causes you to stumble, cut it off and throw it away. It is better for you to enter life maimed or lame than to have two hands or two feet and be thrown into eternal fire.|Retains graphic hyperbole and the life/fire contrast.
18:9|And if your eye causes you to stumble, tear it out and throw it away. It is better for you to enter life with one eye than to have two eyes and be thrown into fiery Gehenna.|Keeps the second parallel image and named destination.
18:10|“See that you do not despise one of these little ones. I tell you, their angels in heaven continually see the face of my Father in heaven.|Retains their angels and face without constructing an angelic system.
18:12|What do you think? If a man has a hundred sheep and one wanders away, won’t he leave the ninety-nine on the mountains and go looking for the stray?|Preserves numbers and the location of the remaining sheep.
18:13|And if he finds it, truly I tell you, he rejoices over it more than over the ninety-nine that did not stray.|Keeps if and the comparative rejoicing.
18:14|In the same way, your Father in heaven does not will that one of these little ones should perish.|Follows your Father and preserves one and perish.
18:15|“If your brother or sister sins against you, go and point out the wrong privately, just between the two of you. If they listen, you have gained your brother or sister.|Renders familial believers inclusively and retains pinned against you.
18:16|But if they do not listen, take one or two others with you, so that every matter may be established by the testimony of two or three witnesses.|Keeps both number sets and the legal witness principle.
18:17|If they refuse to listen to them, tell the church. If they refuse to listen even to the church, let that person be to you as a Gentile and a tax collector.|Preserves escalation and the final comparison without prescribing extra sanctions.
18:18|Truly I tell you, whatever you bind on earth will be bound in heaven, and whatever you release on earth will be released in heaven.|Matches 16:19’s wording while the plural audience is explained in notes.
18:19|Again, truly I tell you, if two of you on earth agree about any matter they ask for, my Father in heaven will do it for them.|Keeps two, agreement, and the broad promise in its local context.
18:20|For where two or three gather in my name, I am there among them.”|Retains the gathering qualification and presence.
18:21|Then Peter came and asked him, “Lord, how many times should I forgive my brother or sister when they sin against me? As many as seven?”|Keeps the forgiveness question and proposed limit.
18:22|Jesus told him, “Not seven times, I tell you, but seventy-seven times.|Chooses seventy-seven while recording seventy times seven as an alternative.
18:23|“That is why the kingdom of heaven is like a king who wanted to settle accounts with his slaves.|Keeps slavery and the accounting comparison.
18:24|As he began settling them, a man who owed ten thousand talents was brought before him.|Retains the enormous precise sum and ancient unit.
18:25|Since he could not repay it, his master ordered that he, his wife, his children, and everything he owned be sold to pay the debt.|Preserves the threatened sale of the whole family.
18:26|The slave fell down and bowed before him. ‘Be patient with me,’ he said, ‘and I will repay you everything.’|Keeps the implausibly comprehensive promise.
18:27|Moved with compassion, the master released that slave and forgave his debt.|Distinguishes release from cancellation of the loan.
18:28|But when that slave went out, he found a fellow slave who owed him a hundred denarii. He seized him and began choking him. ‘Pay what you owe!’ he said.|Retains the smaller debt, shared status, and physical assault.
18:29|His fellow slave fell down and begged him, ‘Be patient with me, and I will repay you.’|Preserves the deliberate echo without adding everything.
18:30|But he refused. Instead, he went and had him thrown into prison until he paid what he owed.|Keeps refusal and imprisonment until repayment.
18:31|When the other slaves saw what had happened, they were deeply distressed. They went and told their master everything.|Preserves grief and comprehensive reporting.
18:32|Then his master summoned him. ‘You evil slave,’ he said, ‘I forgave you that whole debt because you begged me.|Keeps the master’s reason and whole debt.
18:33|Shouldn’t you have shown your fellow slave mercy, just as I showed mercy to you?’|Preserves mercy’s reciprocal argument.
18:34|In anger, his master handed him over to the torturers until he paid everything he owed.|Retains actual torture rather than softening the officials’ role.
18:35|So my heavenly Father will also do to you unless each of you forgives your brother or sister from your heart.”|Preserves the severe application and inward forgiveness.
19:1|When Jesus finished these words, he left Galilee and came to the region of Judea beyond the Jordan.|Retains the discourse boundary and source geography without harmonizing it.
19:2|Large crowds followed him, and he healed them there.|Keeps the concise continuation and location.
19:3|Pharisees approached to test him. “Is a man permitted to divorce his wife for any reason?” they asked.|Preserves male action and the disputed any-reason scope.
19:4|He answered, “Haven’t you read that the Creator made them male and female from the beginning,|Keeps the creation reference and specific sexes.
19:5|and said, ‘For this reason a man will leave his father and mother and be joined to his wife, and the two will become one flesh’?|Retains leaving, joining, two, and bodily union.
19:6|So they are no longer two, but one flesh. Therefore, what God has joined together, no human being should separate.”|Keeps the inference and divine/human agency contrast.
19:7|They asked him, “Why then did Moses command giving her a certificate of divorce and sending her away?”|Preserves their command formulation for the following correction.
19:8|He told them, “Because of your hard hearts Moses permitted you to divorce your wives. But it was not that way from the beginning.|Keeps permitted versus commanded and the temporal contrast.
19:9|I tell you, whoever divorces his wife, except on grounds of sexual immorality, and marries another woman commits adultery. And whoever marries a divorced woman commits adultery.”|Retains porneia exception and the final clause printed in this pinned edition.
19:10|The disciples said to him, “If that is the situation between a man and his wife, it is better not to marry.”|Keeps the disciples’ inference as their speech.
19:11|He told them, “Not everyone can accept this saying, but only those to whom it has been given.|Preserves the limited capacity and passive gift.
19:12|For some eunuchs were born that way from their mother’s womb; others were made eunuchs by people; and others made themselves eunuchs for the kingdom of heaven. Let anyone who can accept this accept it.”|Keeps all three categories and the stark metaphor without endorsing mutilation.
19:13|Then children were brought to him so that he could lay his hands on them and pray. But the disciples rebuked them.|Preserves both intended actions and the pronoun’s open reference.
19:14|Jesus said, “Let the children come to me. Do not stop them, for the kingdom of heaven belongs to such as these.”|Keeps invitation, prohibition, and such-as comparison.
19:15|He laid his hands on them and went on from there.|Retains the narrated action without adding unreported words.
19:16|A man came up to him and asked, “Teacher, what good thing must I do to have eternal life?”|Follows Teacher and good thing rather than harmonizing good teacher.
19:17|He answered, “Why do you ask me about what is good? There is one who is good. If you want to enter life, keep the commandments.”|Preserves the pinned question and unnamed one.
19:18|“Which ones?” he asked. Jesus answered, “‘Do not murder. Do not commit adultery. Do not steal. Do not give false testimony.|Keeps the four prohibitions in source order.
19:19|Honor your father and mother,’ and, ‘Love your neighbor as yourself.’”|Preserves the two positive commands and quotation boundaries.
19:20|The young man said to him, “I have kept all these. What do I still lack?”|Keeps his claim without an absent since-youth expansion.
19:21|Jesus told him, “If you want to be complete, go, sell your possessions, and give to the poor. You will have treasure in heaven. Then come, follow me.”|Links complete to 5:48 while preserving costly actions and the call.
19:22|When the young man heard this, he went away distressed, because he had many possessions.|Keeps possessions as the stated cause of grief.
19:23|Jesus told his disciples, “Truly I tell you, it is hard for a rich person to enter the kingdom of heaven.|Preserves difficulty rather than an absolute prohibition.
19:24|Again I tell you, it is easier for a camel to pass through a needle’s hole than for a rich person to enter the kingdom of God.”|Keeps camel and literal needle without an invented gate explanation.
19:25|When the disciples heard this, they were utterly astonished. “Who, then, can be saved?” they asked.|Retains the strong reaction and universal question.
19:26|Jesus looked at them and said, “For human beings this is impossible, but for God all things are possible.”|Keeps impossible/possible and human/divine contrasts.
19:27|Then Peter replied, “Look, we have left everything and followed you. What will there be for us?”|Preserves the disciples’ claim and reward question.
19:28|Jesus told them, “Truly I tell you, at the renewal, when the Son of Man sits on his glorious throne, you who have followed me will also sit on twelve thrones, judging the twelve tribes of Israel.|Retains renewal, enthronement, both twelves, and judging without reducing it to one function.
19:29|And everyone who has left houses, brothers, sisters, father, mother, wife, children, or fields because of my name will receive a hundredfold and inherit eternal life.|Preserves wife as printed and all categories and reward figures.
19:30|But many who are first will be last, and the last first.|Keeps many and the reversal that introduces the next parable.
20:1|“For the kingdom of heaven is like a landowner who went out early in the morning to hire workers for his vineyard.|Preserves the causal link to first/last and paid labor.
20:2|He agreed with the workers on a denarius for the day and sent them into his vineyard.|Keeps negotiated wage and daily period.
20:3|About the third hour he went out and saw others standing in the marketplace without work.|Renders idle as the employment condition established by their later answer.
20:4|He told them, ‘You go into the vineyard too, and I will pay you whatever is right.’|Preserves unspecified but just remuneration.
20:5|So they went. He went out again about the sixth and ninth hours and did the same.|Keeps both later hiring times.
20:6|About the eleventh hour he went out and found others standing there. ‘Why have you stood here all day without work?’ he asked.|Retains late timing and the question’s duration.
20:7|‘Because no one has hired us,’ they answered. He told them, ‘You go into the vineyard too.’|Keeps their stated cause and excludes an absent wage addition.
20:8|When evening came, the vineyard owner told his manager, ‘Call the workers and pay their wages, beginning with the last and ending with the first.’|Preserves deliberately reversed payment order.
20:9|Those hired about the eleventh hour came and each received a denarius.|Keeps equal individual payment and hiring time.
20:10|When the first came, they expected more. But they too received a denarius each.|Preserves expectation contrasted with actual payment.
20:11|After receiving it, they grumbled against the landowner.|Retains complaint after acceptance of the wage.
20:12|‘These last worked one hour,’ they said, ‘and you have made them equal to us, who bore the day’s burden and burning heat.’|Keeps the equality grievance and real labor hardship.
20:13|He answered one of them, ‘Friend, I am not wronging you. Didn’t you agree with me on a denarius?|Preserves singular address and contractual defense.
20:14|Take what is yours and go. I want to give this last worker the same as you.|Keeps the owner’s stated desire and equal gift.
20:15|Am I not free to do what I want with what is mine? Or is your eye evil because I am good?’|Retains the evil-eye idiom for a note explaining envy.
20:16|So the last will be first, and the first last.”|Keeps the reversal without an absent many-called addition.
20:17|As Jesus went up to Jerusalem, he took the twelve disciples aside. On the road he told them,|Preserves private setting within the journey.
20:18|“Look, we are going up to Jerusalem. The Son of Man will be handed over to the chief priests and scribes, and they will condemn him to death.|Keeps destination, agents, and judicial death sentence.
20:19|They will hand him over to the Gentiles to be mocked, flogged, and crucified. And on the third day he will be raised.”|Retains all three forms of abuse and resurrection timing.
20:20|Then the mother of Zebedee’s sons came to him with her sons. Bowing before him, she asked him for something.|Preserves the mother’s initiative rather than harmonizing another account.
20:21|“What do you want?” he asked her. She said, “Command that these two sons of mine sit beside you in your kingdom, one at your right and one at your left.”|Keeps the request for authoritative appointment and both seats.
