25:1|Of David.\nTo you, LORD, I lift up my life.|Keep title and lifted life as an act of trust.
55:12|If an enemy were insulting me, I could bear it.\nIf someone who hated me rose against me, I could hide from him.|Unfold the two negative counterfactual clauses naturally before betrayal disclosure.
55:13|But it is you—a man my equal,\nmy companion, my close friend.|Specific male friend and rank retained, no invented identity.
55:14|We shared the sweetness of private counsel\nand walked with the crowd in God’s house.|Keep intimate counsel contrasted with public shared worship.
55:15|Let death take them by surprise;\nlet them go down alive to Sheol!\nEvil lives in their homes and within them.|Follow read two-word death clause and retain living descent and imprecation.
55:16|As for me, I call to God,\nand the LORD will save me.|Contrast first person with enemies, distinct divine names.
55:17|Evening, morning, and noon, I complain and moan;\nhe hears my voice.|Preserve all three times and lament rather than substituting calm prayer.
55:18|He has ransomed me safely from the battle against me,\nthough there were many opposing me.|Render beshalom safety; with me can mean on my side or engaged against me, note choice.
55:19|God will hear and humble them—\nthe one enthroned from long ago. Selah.\nThey do not change,\nand they do not fear God.|Keep ancient enthronement and difficult no-changes clause, note alternatives.
55:20|He reaches out against those at peace with him;\nhe has profaned his covenant.|Abrupt singular betrayer retained without adding name.
55:21|His mouth is smoother than butter,\nbut war is in his heart.\nHis words are softer than oil,\nbut they are drawn swords.|Preserve butter/oil and war/sword paired contrasts.
55:22|Throw your burden onto the LORD;\nhe will sustain you.\nHe will never let the righteous be shaken.|Keep casting and sustaining, indefinite burden rather than invented problem list.
55:23|But you, God, will bring them down to the pit of destruction.\nMen of bloodshed and deceit will not live out half their days.\nAs for me, I will trust you.|Keep half-days claim, bloodshed and final personal trust.
56:1|For the music leader. According to “The Silent Dove Far Away.” Of David. A miktam, when the Philistines seized him in Gath.\nBe gracious to me, God, for people trample me;\nall day an attacker presses me.|Title tune rendering tentative in note; preserve Philistines Gath and continuous oppression.
56:2|Those watching for my fall trample me all day;\nmany fight against me arrogantly.|Marom literally height, arrogance chosen over Most High address with note.
56:3|On the day I am afraid,\nI put my trust in you.|Fear and trust coexist, not denial of fear.
56:4|In God, whose word I praise—\nin God I trust; I will not be afraid.\nWhat can flesh do to me?|Retain repeated in God and flesh contrasted with human in verse 11.
56:5|All day they twist my words;\nall their thoughts about me aim at harm.|Keep words as object of painful distortion and evil intention.
56:6|They gather and hide,\nwatching my footsteps,\nhoping to take my life.|Follow read hide; bodily tracking and life threat explicit.
56:7|Will they escape despite their wrongdoing?\nGod, bring the peoples down in anger!|Difficult escape clause rendered rhetorical question; no added negative source text.
56:8|You have counted my wanderings.\nPut my tears in your skin-bottle—\nare they not in your record?|Preserve counting, tears and skin-container image rather than generic remembering.
56:9|Then my enemies will turn back on the day I call.\nThis I know: God is for me.|Keep day of calling and assurance not prediction of specific outcome date.
56:10|In God I praise the word;\nin the LORD I praise the word.|Repeat both parallel clauses and distinct divine designations.
56:11|In God I trust; I will not be afraid.\nWhat can a human do to me?|Preserve human noun different from flesh in earlier refrain.
56:12|God, my vows to you are binding on me;\nI will fulfill them with thank offerings.|Explain upon me as obligation without losing sacrificial thanksgiving.
56:13|You have rescued my life from death,\nand my feet from stumbling,\nso I may walk before God in the light of the living.|Render rhetorical have you not affirmatively; keep living light and walking purpose.
57:1|For the music leader. “Do Not Destroy.” Of David. A miktam, when he fled from Saul into the cave.\nBe gracious to me, God, be gracious to me!\nI take refuge in you;\nin the shadow of your wings I will take refuge\nuntil destruction passes by.|Keep repeated plea/refuge and all title elements without selecting a cave location.
57:2|I call to God Most High,\nto God who brings things to completion for me.|Gomer completion left broad rather than inserting a detailed plan.
57:3|He will send from heaven and save me;\nhe will put my pursuer to shame. Selah.\nGod will send his faithful love and faithfulness.|Keep two sending clauses; reproach clause could describe enemy, note.
57:4|My life is among lions;\nI lie down among those burning to devour—\nhuman beings whose teeth are spears and arrows,\nwhose tongues are sharp swords.|Preserve intertwined fire/lion/weapon imagery and human referent, devour contextual expansion.
57:5|Rise high above the heavens, God;\nlet your glory be over all the earth.|Maintain exaltation petition and cosmic scope as refrain.
57:6|They set a net for my steps;\nI was bowed down.\nThey dug a pit in front of me\nand fell into it themselves. Selah.|Keep dejection and reversal without moralizing addition.
57:7|My heart is steady, God; my heart is steady.\nI will sing and make music.|Retain emphatic doubled heart and two musical verbs.
57:8|Wake up, my glory!\nWake up, harp and lyre!\nI will wake the dawn.|Keep glory self-address and audacious dawn-waking image, not simply early rising.
57:9|I will thank you among the peoples, Lord;\nI will make music to you among the nations.|Preserve international parallel praise.
57:10|Your faithful love reaches high to the heavens,\nyour faithfulness to the clouds.|Keep vertical paired qualities linked to verse 3.
57:11|Rise high above the heavens, God;\nlet your glory be over all the earth.|Repeat verse 5 exactly to support audible structure.
58:1|For the music leader. “Do Not Destroy.” Of David. A miktam.\nDo you really speak justice, you silent ones?\nDo you judge people fairly?|Pinned elem silence difficult; preserve without silently repointing gods or rulers, note alternatives.
58:2|No! In your hearts you work injustice;\non earth your hands weigh out violence.|Judicial weighing image turned violent, heart and hands both retained.
58:3|The wicked go astray from the womb;\nfrom birth, liars wander off.|Keep hyperbolic birth accusation, not convert into doctrinal explanation.
58:4|Their venom is like a snake’s venom,\nlike a deaf cobra that stops its ears,|Keep ancient deaf-snake image even though biological description is not modern science.
58:5|refusing to hear the voice of charmers,\nhowever skillfully they cast their spells.|Continue cobra image and charm expertise.
58:6|God, smash the teeth in their mouths!\nLORD, break the young lions’ fangs!|Keep both violent commands and lion metaphor.
58:7|Let them dissolve like water flowing away.\nWhen he aims his arrows, let them be blunted.|Follow read plural arrows, preserve singular subject shift and difficult cut-off image.
58:8|Like a snail melting as it moves,\nlike a woman’s stillborn child, let them never see the sun.|Retain disturbing snail and stillbirth comparison without euphemism; note poetry not judgment on bereaved.
58:9|Before your pots can feel the thorn-fire,\nwhether green or burning, let him sweep it away.|Retain difficult pots/thorns/wind sequence; green/burning interpretive choice disclosed.
58:10|The righteous will rejoice to see vengeance;\nthey will wash their feet in the blood of the wicked.|Preserve delight in vengeance and blood; use collective English for the generic righteous and wicked figures.
58:11|Then people will say, “There really is fruit for the righteous;\nthere really is a God who judges on earth.”|Keep fruit image and doubled indeed, plural participle construed with God.
59:1|For the music leader. “Do Not Destroy.” Of David. A miktam, when Saul sent men to watch the house and kill him.\nRescue me from my enemies, my God;\nset me high beyond those rising against me.|Title watch and murder threat explicit; sagab height retained.
59:2|Rescue me from evildoers;\nsave me from men of bloodshed.|Keep two requests and specific violent men.
59:3|Look! They lie in wait for my life;\nfierce men gather against me—\nnot because I rebelled or sinned, LORD.|Preserve claimed innocence in this conflict, not universal sinlessness.
59:4|Though I have done no wrong, they run and take their positions.\nWake up! Come to meet me and see!|Retain military preparations and bold wake demand.
59:5|You, LORD God of Armies, God of Israel,\nwake up to call all the nations to account!\nShow no favor to any treacherous evildoer. Selah.|Keep scope widening from local attackers to nations and refusal of mercy.
59:6|They return at evening, growling like dogs,\nand circle the city.|Dog patrol image and evening refrain.
59:7|Listen to what pours from their mouths!\nSwords are on their lips: “Who can hear us?”|Preserve spewing and sword speech, quoted challenge implicit context supplied us.
59:8|But you, LORD, laugh at them;\nyou mock all the nations.|Maintain divine ridicule without softened disapproval.
59:9|Against his strength, I watch for you,\nfor God is my stronghold.|Keep pinned his strength rather than harmonizing to my strength in verse 17; note ellipsis.
59:10|My God of faithful love will come to meet me;\nGod will let me look upon those watching for my fall.|Follow read my love; no added delight or triumph in look upon.
59:11|Do not kill them, or my people may forget.\nMake them wander by your might; bring them low,\nLord, our shield.|Preserve do not kill despite subsequent consume; no smoothing tension.
59:12|For the sin of their mouths, the words on their lips,\nlet them be caught in their pride,\nfor the curses and lies they speak.|Keep speech, pride and requested entrapment.
59:13|Consume them in wrath; consume them until they are gone!\nThen they will know that God rules over Jacob,\nto the ends of the earth. Selah.|Keep doubled consume and shifting they without specifying survivors.
59:14|They return at evening, growling like dogs,\nand circle the city.|Repeat verse 6 with the same wording.
59:15|They wander in search of food;\nif they are not satisfied, they stay the night.|Pinned lodging verb retained rather than alternate growling; note ambiguity.
59:16|But I will sing of your strength;\nat morning I will sing aloud of your faithful love.\nYou have been my stronghold,\na place to flee on my day of distress.|Contrast morning singer with evening dogs; two refuge images.
59:17|My strength, I will make music to you,\nfor God is my stronghold,\nmy God of faithful love.|Keep my strength distinct from verse 9 and repeated stronghold/love.
60:1|For the music leader. According to “The Lily of Testimony.” A miktam of David. For teaching. When he fought Aram-naharaim and Aram-zobah, and Joab returned and struck down twelve thousand Edomites in the Valley of Salt.\nGod, you have rejected us and broken through our defenses.\nYou have been angry; restore us!|Bind both title records and opening; preserve all names, Joab, twelve thousand and divine agency without harmonizing Samuel.
60:2|You have shaken the land and split it open.\nHeal its fractures, for it is tottering.|Earthquake and healing imagery retain national catastrophe.
60:3|You have made your people see hardship;\nyou have given us wine that sends us staggering.|Keep God as giver of distress and intoxicating wine image.
60:4|You have given those who fear you a banner\nto raise for the sake of truth. Selah.|Pinned qoshet truth chosen; alternate flee before bow requires note.
60:5|So that those you love may be rescued,\nsave with your right hand and answer me.|Follow read me versus written us, retain communal beloved and right hand.
60:6|God has spoken in his holiness:\n“I will rejoice! I will divide Shechem\nand measure out the Valley of Succoth.|Open divine speech and retain land allocation, holiness/sanctuary ambiguity noted.
60:7|Gilead is mine, Manasseh is mine;\nEphraim is my head’s protection,\nJudah is my ruling staff.|Preserve four tribal/territorial names and head/staff authority images.
60:8|Moab is my washbasin;\non Edom I throw my sandal.\nPhilistia, shout over me!”|Pinned imperative over me retained despite difficult triumphant sense; do not harmonize Psalm 108.
60:9|Who will bring me to the fortified city?\nWho will lead me as far as Edom?|Close oracle before questions; unidentified fortified city stays unnamed.
60:10|Is it not you, God, who rejected us?\nGod, you do not march out with our armies.|Preserve rejected lament and absence, not force a confident answer.
60:11|Give us help against the foe;\nhuman rescue is empty.|Human help contrast not abstract contempt for people.
60:12|With God we will act with strength;\nhe will trample our foes.|Keep martial conclusion and divine trampling.
61:1|For the music leader. With a stringed instrument. Of David.\nHear my cry, God;\npay attention to my prayer.|Title singular instrument retained and two appeals.
61:2|From the end of the earth I call to you\nwhen my heart grows faint.\nLead me to the rock high above me.|Retain the height comparison as high above me without making inability to reach it an explicit source claim.
61:3|You have been a refuge for me,\na strong tower against the enemy.|Keep refuge and tower images distinct.
61:4|Let me stay in your tent forever;\nlet me take refuge under the shelter of your wings. Selah.|Maintain tent guest and bird shelter together.
61:5|You, God, have heard my vows;\nyou have given me the inheritance of those who fear your name.|Supply recipient me from speaker, preserve inheritance and name.
61:6|Add days to the king’s days;\nlet his years stretch through generation after generation.|Keep royal longevity prayer and repeated days.
61:7|May he sit before God forever;\nappoint faithful love and faithfulness to guard him.|Keep third-person king and personified guards without naming dynasty.
61:8|Then I will always make music to your name,\nfulfilling my vows day by day.|Return to first person and vows, preserve day by day.
62:1|For the music leader. According to Jeduthun. A psalm of David.\nFor God alone I wait in silence;\nmy rescue comes from him.|Title preserved; silence and exclusive focus carried in first refrain.
62:2|He alone is my rock and my rescue,\nmy stronghold; I will not be greatly shaken.|Keep greatly, absent in later refrain, to preserve progression.
62:3|How long will you all attack one man,\ntrying to murder him\nas though he were a leaning wall, a fence about to fall?|Keep vulnerable singular against collective attackers; difficult murder verb active per pinned pointing.
62:4|They plot only to topple him from his high place.\nThey delight in lies;\nwith their mouths they bless, but inwardly they curse. Selah.|Preserve social elevation and outer/inner contrast, normalize singular mouth to plural people.
62:5|Wait in silence for God alone, my soul;\nmy hope comes from him.|Self-command rather than identical statement, hope versus rescue.
62:6|He alone is my rock and my rescue,\nmy stronghold; I will not be shaken.|Repeat refrain without greatly, retain real difference from verse 2.
62:7|My rescue and my honor rest on God;\nmy mighty rock, my refuge, is in God.|Keep honor and doubled God reference, unusual in construction not erased.
62:8|Trust him at all times, you people;\npour out your hearts before him.\nGod is a refuge for us. Selah.|Shift from self-address to community and pouring heart image.
62:9|Ordinary people are a breath;\nthe powerful are a lie.\nPut them together on the scales and they rise—\nlighter than a breath.|Social distinction beney adam/ish contextual; all together inadequate, not class contempt.
62:10|Do not trust in extortion\nor put empty hopes in stolen goods.\nIf wealth increases, do not set your heart on it.|Preserve oppression/robbery distinct from ordinary growing wealth.
62:11|God has spoken once; twice I have heard this:\nstrength belongs to God,|Keep numeric saying and clause continuing into faithful love.
62:12|and faithful love belongs to you, Lord.\nYou repay each person according to what they do.|Direct-address shift and deeds-based repayment without doctrinal expansion.
63:1|A psalm of David, when he was in the wilderness of Judah.\nGod, you are my God; I seek you eagerly.\nMy whole being thirsts for you; my flesh longs for you\nin a dry, weary land with no water.|Title Judah preserved; physical flesh and thirst alongside whole being, seek eagerly rather than mandatory dawn.
63:2|So I have gazed on you in the sanctuary,\nseeing your strength and glory.|Keep past sanctuary sight rather than turning into future wish.
63:3|Your faithful love is better than life;\nmy lips will praise you.|Retain startling comparison not soften to enriching life.
63:4|So I will bless you as long as I live;\nin your name I will lift my hands.|Life and embodied prayer with name retained.
63:5|I will be satisfied as with fat and rich food;\nmy mouth will praise you with joyful lips.|Keep ancient fat richness image rather than generic satisfaction.
63:6|When I remember you on my bed,\nI ponder you through the night watches.|Sleep setting and night divisions preserved.
63:7|You have been my help;\nin the shadow of your wings I sing aloud.|Wings recur as shelter and joy.
63:8|My whole being clings to you;\nyour right hand holds me fast.|Mutual holding and specific right hand retained.
63:9|But those who seek to destroy my life\nwill go into the depths of the earth.|Contrast enemy life-seeking with descent, not assert a developed hell doctrine.
63:10|They will be handed over to the sword\nand become a portion for jackals.|Keep death and scavenger image, jackals rather than domesticated fox stereotype.
63:11|But the king will rejoice in God;\neveryone who swears by him will glory,\nfor the mouths that speak lies will be stopped.|Leave him God/king ambiguity in note, royal third person not replaced by I.
64:1|For the music leader. A psalm of David.\nGod, hear my voice as I complain;\nprotect my life from the enemy’s terror.|Preserve complaint and fear caused by enemy, title bound with opening.
64:2|Hide me from the secret counsel of evildoers,\nfrom the tumult of those who do harm.|Quiet conspiracy and noisy gathering contrast.
64:3|They sharpen their tongues like swords\nand aim bitter words like arrows,|Keep speech weapons and line running into purpose.
64:4|to shoot at the blameless from hiding.\nThey shoot him suddenly, without fear.|Suddenly and fear prepare divine reversal, singular target retained.
64:5|They encourage each other in an evil plan;\nthey talk of hiding snares, saying,\n“Who will see them?”|Keep mutual encouragement and concealed trap challenge, pronoun ambiguity noted.
64:6|They search out ways to do wrong:\n“We have perfected a thoroughly searched-out plan!”\nA person’s inward thought and heart are deep.|Difficult searching wordplay and quoted first-plural preserved; note alternatives.
64:7|But God shoots them with an arrow;\nsuddenly they are wounded.|Keep enemy weapons and suddenly turned back on them.
64:8|Their own tongues bring them down;\neveryone who sees them shakes their head.|Difficult mixed-number syntax rendered own-tongue recoil; gestures versus flight note.
64:9|Then all people will fear;\nthey will tell what God has done\nand ponder his work.|Human fear reverses attackers fearlessness; recount and understand both.
64:10|Let the righteous rejoice in the LORD and take refuge in him;\nlet all the upright in heart glory.|Close with public rejoicing, refuge and heart answering hidden wicked hearts.
