25:1|The word of the LORD came to me:|Retains the repeated word-event formula.
40:13|He measured the gate from one guardroom’s roof to the opposite roof: twenty-five cubits across, doorway opposite doorway.|Preserves roof-to-roof endpoints.
40:14|He made the jambs sixty cubits, and the court surrounded the gate up to the jambs.|Retains difficult sixty-cubit clause without emendation.
40:15|From the front of the entrance gate to the front of the inner vestibule was fifty cubits.|Keeps measurement endpoints and read-form entrance.
40:16|Recessed windows surrounded the guardrooms and their jambs, facing inward into the gate; the vestibules likewise had windows all around facing inward. Palm trees decorated the jambs.|Preserves repeated inward windows and palm motif.
40:17|Then he brought me into the outer court. Chambers and a pavement ran around the court; thirty chambers stood along the pavement.|Keeps thirty chambers and continuous pavement.
40:18|The pavement flanked the gates and matched their length. This was the lower pavement.|Retains relational length and lower designation.
40:19|He measured from the front of the lower gate to the outside front of the inner court: a hundred cubits, on the east and the north.|Keeps two directions and hundred-cubit interval.
40:20|He measured the length and width of the north-facing gate of the outer court.|Preserves north gate's introduction.
40:21|Its guardrooms, three on each side, its jambs, and its vestibules matched the first gate: fifty cubits long and twenty-five cubits wide.|Retains three-per-side and full dimensions.
40:22|Its windows, vestibules, and palm trees matched the east-facing gate. Seven steps led up to it, with its vestibules ahead of them.|Keeps seven steps and repeated features.
40:23|A gate to the inner court stood opposite the north gate, as on the east. He measured a hundred cubits from gate to gate.|Preserves gate alignment and interval.
40:24|He led me south, where there was a south-facing gate. He measured its jambs and vestibules; they had the same dimensions.|Keeps new direction and matching structures.
40:25|The gate and its vestibules had windows all around like the others. It was fifty cubits long and twenty-five cubits wide.|Retains explicit repeated dimensions.
40:26|Seven steps led up to it, and its vestibules were ahead of them. Palm trees decorated the jambs, one on either side.|Keeps seven and one-per-side palms.
40:27|The inner court also had a south-facing gate. He measured a hundred cubits from gate to gate on the south.|Retains third repeated court interval.
40:28|He brought me into the inner court through the south gate. He measured this south gate; it had the same dimensions.|Distinguishes inner south gate from outer.
40:29|Its guardrooms, jambs, and vestibules had the same measurements. The gate and its vestibules had windows all around. It was fifty cubits long and twenty-five cubits wide.|Keeps structural inventory and repeated size.
40:30|Vestibules all around were twenty-five cubits long and five cubits wide.|Retains difficult extra measurement, not deleted.
40:31|Its vestibules faced the outer court. Palm trees decorated its jambs, and eight steps led up to it.|Keeps eight inner steps versus seven outer.
40:32|He brought me into the inner court on the east and measured the gate. It had the same dimensions.|Preserves eastward movement.
40:33|Its guardrooms, jambs, and vestibules had the same measurements. The gate and its vestibules had windows all around. It was fifty cubits long and twenty-five cubits wide.|Retains whole repeated description.
40:34|Its vestibules faced the outer court. Palm trees decorated its jambs on both sides, and eight steps led up to it.|Keeps direction, paired decoration and eight steps.
40:35|He brought me to the north gate and measured it. It had the same dimensions:|Preserves northward movement and introductory measurement.
40:36|guardrooms, jambs, vestibules, and windows all around. It was fifty cubits long and twenty-five cubits wide.|Retains complete architectural repetition.
40:37|Its jambs faced the outer court, with palm trees on the jambs on both sides. Eight steps led up to it.|Retains pinned jambs rather than harmonizing vestibules.
40:38|There was a chamber with its doorway beside the gate jambs. There they washed the burnt offering.|Keeps washing location and offering identity.
40:39|Inside the gate’s vestibule were two tables on each side for slaughtering the burnt offering, sin offering, and guilt offering.|Preserves three offering categories and four tables.
40:40|Outside, beside the approach to the north gate’s entrance, were two tables. Two more stood on the other side beside the vestibule.|Keeps exterior pairs distinct from interior.
40:41|Four tables stood on each side of the gate, eight tables in all, for slaughtering the sacrifices.|Preserves total and distribution.
40:42|There were also four tables of cut stone for the burnt offering, each a cubit and a half long, a cubit and a half wide, and one cubit high. On them they laid the tools for slaughtering burnt offerings and other sacrifices.|Keeps four stone tables and fractional measurements.
40:43|Hooks a handbreadth long were fixed all around inside, and the flesh of the offering lay on the tables.|Uses provisional hooks; alternative ledges noted.
40:44|Outside the inner gate, in the inner court, were chambers for singers beside the north gate, facing south. Another stood beside the east gate, facing north.|Retains pinned singers and east rather than harmonizing.
40:45|He told me, “The chamber facing south is for the priests who keep charge of the temple.|Keeps southern chamber's assigned duty.
40:46|The chamber facing north is for the priests who keep charge of the altar. These are the descendants of Zadok, who among the Levites approach the LORD to serve him.”|Preserves Zadokite distinction and altar duty.
40:47|He measured the court: a square, a hundred cubits long and a hundred cubits wide. The altar stood in front of the temple.|Keeps square dimensions and altar placement.
40:48|He brought me to the temple’s vestibule and measured its jambs: five cubits on each side. The gate’s side walls were three cubits on each side.|Retains five/three relationships with construction uncertainty noted.
40:49|The vestibule was twenty cubits long and eleven cubits wide, with steps leading up to it. Pillars stood beside the jambs, one on each side.|Retains pinned eleven and unspecified step count.
41:1|He brought me to the main hall and measured its jambs: six cubits wide on each side, the width of the tent.|Retains unexpected tent term rather than omitting it.
41:2|The entrance was ten cubits wide, with five cubits on each side. He measured the hall: forty cubits long and twenty cubits wide.|Keeps opening and room measures distinct.
41:3|Then he went inside and measured the entrance jamb: two cubits. The entrance was six cubits, and the width beside the entrance was seven cubits.|Preserves man alone entering and difficult six/seven measures.
41:4|He measured the room’s length and width: twenty cubits by twenty, beyond the main hall. He told me, “This is the Most Holy Place.”|Keeps square inner room and explicit designation.
41:5|He measured the temple wall: six cubits thick. The side chambers all around the temple were four cubits wide.|Retains wall thickness and chamber width.
41:6|The side chambers were arranged one above another in three stories, thirty in each. They rested on ledges in the wall surrounding the temple, so they could be supported without being fastened into the temple wall itself.|Renders three/thirty arrangement provisionally, preserving separate support.
41:7|The side chambers grew wider at each higher story, as the surrounding structure rose level by level. The width increased upward, and one went from the lowest level to the highest through the middle level.|Keeps upward widening and middle-level access.
41:8|I saw a raised platform all around the temple. The side chambers’ foundations measured a full reed, six long cubits.|Keeps platform and full-reed height; term qualified.
41:9|The outer wall of the side chambers was five cubits thick. There was an open space beside the temple’s side chambers,|Preserves wall/open-space distinction across verse boundary.
41:10|and between them and the chambers was a space twenty cubits wide all around the temple.|Keeps twenty-cubit intervening space.
41:11|The side chambers opened onto the open space, one entrance facing north and one facing south. The open space was five cubits wide all around.|Preserves two entrances and five-cubit walkway.
41:12|The building facing the separate area on the west was seventy cubits wide. Its wall was five cubits thick all around, and its length was ninety cubits.|Keeps west orientation and seventy/five/ninety.
41:13|He measured the temple: a hundred cubits long. The separate area, the building, and its walls also measured a hundred cubits in length.|Retains two distinct hundred-cubit totals.
41:14|The front of the temple and the separate area on the east measured a hundred cubits across.|Keeps eastward width distinct from length.
41:15|He measured the building facing the separate area behind the temple, with its galleries on both sides: a hundred cubits. The inner hall and the court’s vestibules,|Preserves galleries and continuing description.
41:16|the thresholds, recessed windows, and galleries around all three were paneled with wood all around, opposite the threshold, from the floor to the windows. The windows were covered.|Keeps difficult three-part reference and wood coverage.
41:17|Above the entrance, inside the temple and outside, along every wall inside and outside, everything was measured.|Retains measured wording rather than replacing with carving.
41:18|Cherubim and palm trees were carved there, a palm between each pair of cherubim. Each cherub had two faces:|Keeps two-faced rather than earlier four-faced creatures.
41:19|a human face toward the palm on one side and a young lion’s face toward the palm on the other. They were carved all around the temple.|Preserves both face identities and orientation.
41:20|From the floor to above the entrance, cherubim and palm trees were carved on the wall of the main hall.|Retains dotted source clause as received.
41:21|The main hall’s doorposts were square. The front of the sanctuary had the same appearance.|Keeps square posts and obscure comparison.
41:22|The wooden altar was three cubits high and two cubits long. Its corners, its length, and its sides were wood. He told me, “This is the table that stands before the LORD.”|Retains altar/table naming and unusual length wording.
41:23|The main hall and the sanctuary each had double doors.|Keeps paired doors for both spaces.
41:24|Each door had two swinging leaves, two leaves for one door and two for the other.|Preserves repeated two-leaf construction.
41:25|Cherubim and palm trees were carved on the doors of the main hall, as on the walls. A wooden canopy stood across the outside front of the vestibule.|Uses canopy provisionally; preserves matching ornament.
41:26|Recessed windows and palm trees stood on both sides of the vestibule, along with the temple’s side chambers and the canopies.|Keeps difficult concluding architectural inventory.
42:1|He led me north into the outer court and brought me to the chambers opposite the separate area and the building on the north.|Keeps movement and opposing structures.
42:2|The building was a hundred cubits long and fifty cubits wide, with an entrance on the north.|Preserves dimensions and doorway direction.
42:3|Facing the twenty-cubit space beside the inner court and the outer court’s pavement, galleries faced galleries on three levels.|Keeps twenty-cubit reference and three levels.
42:4|Before the chambers was a passage ten cubits wide toward the interior, with a way one cubit wide. Their doors faced north.|Retains difficult one-cubit measure rather than emending hundred.
42:5|The upper chambers were narrower because the galleries took more space from them than from the lower and middle stories.|Keeps galleries as cause of reduced width.
42:6|There were three stories, without pillars like those of the courts. So the upper story was set back from the lower and middle stories above the ground.|Preserves lack of supporting pillars.
42:7|An outer wall ran along the chambers toward the outer court, in front of them, for fifty cubits.|Keeps fifty-cubit exterior wall.
42:8|The row of chambers facing the outer court was fifty cubits long, while the row facing the temple was a hundred cubits.|Distinguishes shorter and longer rows.
42:9|Below these chambers was the east entrance used by those coming in from the outer court.|Follows read-form segmentation without reconstructing walls.
42:10|Within the width of the court’s wall on the east were chambers facing the separate area and the building.|Retains pinned east, alternative south noted.
42:11|A passage ran before them. They resembled the northern chambers in length and width, exits, arrangements, and entrances.|Keeps all five points of correspondence.
42:12|Like the entrances of the southern chambers, there was an entrance at the head of the passage, beside the corresponding wall, for those entering from the east.|Preserves difficult corresponding-wall phrase provisionally.
42:13|He told me, “The northern and southern chambers facing the separate area are holy chambers. There the priests who approach the LORD will eat the most holy offerings. There they will place the most holy offerings—the grain offering, sin offering, and guilt offering—for the place is holy.|Keeps three offering types and repeated holiness.
42:14|When the priests enter, they must not go straight from the holy place into the outer court. They must leave their service garments there, because they are holy, and put on other clothes before approaching the people’s area.”|Keeps change of garments tied to holy status.
42:15|When he finished measuring the inner temple, he led me out through the east-facing gate and measured the surrounding area.|Preserves transition from interior to perimeter.
42:16|He measured all along the east side with the measuring reed: five hundred reeds by the measuring reed.|Follows read-form hundred, preserves reeds as unit.
42:17|He measured the north side: five hundred reeds by the measuring reed.|Retains repeated northern measure.
42:18|He measured the south side: five hundred reeds by the measuring reed.|Retains repeated southern measure.
42:19|He turned to the west side and measured five hundred reeds by the measuring reed.|Keeps west completing four sides.
42:20|He measured all four sides. A wall surrounded it, five hundred long and five hundred wide, separating the holy from the common.|Keeps unsupplied final unit and stated separation purpose.
43:1|He led me to the gate facing east.|Keeps orientation of returning glory.
43:2|The glory of the God of Israel was coming from the east. His voice was like the sound of great waters, and the earth shone with his glory.|Preserves voice/waters comparison and illumination.
43:3|The vision looked like the one I had seen when I came to destroy the city, and like the visions I had seen beside the Kebar River. I fell facedown.|Retains pinned I came, with variant note.
43:4|The glory of the LORD entered the temple through the east-facing gate.|Preserves route of entry.
43:5|The spirit lifted me and brought me into the inner court. The glory of the LORD filled the temple.|Keeps distinct transport and filling actions.
43:6|I heard someone speaking to me from the temple while the man stood beside me.|Distinguishes speaker from accompanying man.
43:7|He said, “Son of man, this is the place of my throne and the place for the soles of my feet, where I will dwell among the Israelites forever. The house of Israel and their kings will no longer defile my holy name by their prostitution or by the corpses of their kings at their high places.|Keeps throne/feet and difficult royal-corpse clause.
43:8|They set their threshold beside mine and their doorpost beside mine, with only a wall between me and them. They defiled my holy name by the abominations they committed, so I consumed them in my anger.|Preserves proximity and consequence.
43:9|Now let them put their prostitution and their kings’ corpses far from me, and I will dwell among them forever.|Keeps repeated removal and permanent dwelling.
43:10|“Son of man, describe the temple to the house of Israel, so they may be ashamed of their guilt. Let them measure its design.|Retains measuring as commanded response.
43:11|If they are ashamed of all they have done, make known to them the temple’s form and arrangement, its exits and entrances, all its forms, all its statutes, all its forms and all its instructions. Write these before their eyes, so they may observe all its form and all its statutes and carry them out.|Retains awkward repeated forms rather than deleting source words.
43:12|This is the instruction for the temple: the whole area on top of the mountain, all around, is most holy. This is the instruction for the temple.|Preserves framing repetition.
43:13|“These are the altar’s measurements in long cubits, each a cubit and a handbreadth. Its base is one cubit deep and one cubit wide, with a rim one span wide around its edge. This is the altar’s base.|Keeps unit definition and span distinct from cubit.
43:14|From the base on the ground to the lower ledge is two cubits, with a width of one cubit. From the smaller ledge to the larger ledge is four cubits, with a width of one cubit.|Preserves staged heights and repeated widths.
43:15|The altar hearth is four cubits high, and four horns project upward from the hearth.|Keeps height and horn count distinct.
43:16|The hearth is twelve cubits long and twelve cubits wide, square on its four sides.|Preserves twelve-by-twelve square.
43:17|The ledge is fourteen cubits long and fourteen cubits wide on its four sides. Its surrounding rim is half a cubit, and its base extends one cubit all around. Its steps face east.”|Keeps fourteen, half, one and east orientation.
43:18|He told me, “Son of man, this is what the Lord GOD says: These are the altar’s statutes for the day it is made, for offering burnt offerings on it and splashing blood against it.|Preserves altar rites and blood action.
43:19|Give a young bull as a sin offering to the Levitical priests descended from Zadok, who approach me to serve me, declares the Lord GOD.|Keeps specific priestly lineage and animal.
43:20|Take some of its blood and put it on the altar’s four horns, the ledge’s four corners, and the rim all around. Purify the altar and make atonement for it.|Keeps three blood locations and paired ritual verbs.
43:21|Take the bull of the sin offering and burn it at the temple’s appointed place outside the sanctuary.|Preserves external burning location.
43:22|On the second day offer an unblemished male goat as a sin offering. They must purify the altar as they purified it with the bull.|Keeps day, sex and ritual comparison.
43:23|When you finish purifying it, offer an unblemished young bull and an unblemished ram from the flock.|Retains both unblemished requirements.
43:24|Present them before the LORD. The priests must throw salt on them and offer them as a burnt offering to the LORD.|Keeps salt and both divine names.
43:25|For seven days provide a male goat as a sin offering each day. They must also provide an unblemished young bull and an unblemished ram from the flock.|Preserves daily goat and additional animals.
43:26|For seven days they must make atonement for the altar, cleanse it, and consecrate it.|Renders filling-hands idiom as consecration with note.
43:27|When these days are complete, from the eighth day onward the priests must offer your burnt offerings and your peace offerings on the altar. Then I will accept you, declares the Lord GOD.”|Keeps eighth-day transition and acceptance of people.
44:1|He brought me back to the sanctuary’s outer gate facing east. It was shut.|Retains location and closed state.
44:2|The LORD told me, “This gate must remain shut. It must not be opened, and no one may enter through it, because the LORD, the God of Israel, has entered through it. It must remain shut.|Keeps repeated closure and both divine names.
44:3|The prince, because he is prince, may sit there to eat bread before the LORD. He must enter by the gate’s vestibule and leave the same way.”|Preserves prince's limited access and route.
44:4|Then he brought me through the north gate to the front of the temple. I looked: the glory of the LORD filled the LORD’s temple. I fell facedown.|Keeps north route and repeated divine name.
44:5|The LORD told me, “Son of man, pay attention. Look with your eyes and listen with your ears to everything I tell you about all the statutes and instructions of the LORD’s temple. Pay attention to the temple’s entrance and every exit from the sanctuary.|Preserves repeated attention and entry/exit concern.
44:6|Tell the rebellious house of Israel: This is what the Lord GOD says: Enough of all your abominations, house of Israel!|Keeps force of rebuke.
44:7|You brought foreigners, uncircumcised in heart and flesh, into my sanctuary to profane my house while you offered my food, the fat and blood. They broke my covenant in addition to all your abominations.|Retains heart/flesh distinction and they broke pronoun.
44:8|You did not keep charge of my holy things. You appointed others to keep charge of my sanctuary in your place.|Clarifies implied others without naming a class.
44:9|“This is what the Lord GOD says: No foreigner uncircumcised in heart and flesh may enter my sanctuary, including any foreigner living among the Israelites.|Keeps exclusion's exact twofold qualification.
44:10|But the Levites who went far from me when Israel strayed, who strayed from me after their idols, must bear their guilt.|Retains repeated straying and responsibility.
44:11|They may serve in my sanctuary, attending the temple’s gates and serving in the temple. They will slaughter burnt offerings and sacrifices for the people and stand before them to serve them.|Keeps permitted duties despite exclusion from priestly approach.
44:12|Because they served the people before their idols and became a stumbling block of guilt for the house of Israel, I have raised my hand in an oath against them, declares the Lord GOD. They must bear their guilt.|Preserves stumbling block and oath gesture.
44:13|They must not approach me to serve as priests or come near any of my holy things, the most holy things. They must bear their disgrace for the abominations they committed.|Keeps restriction and degrees of holiness.
44:14|Yet I will put them in charge of the temple’s duties, all its service and everything done there.|Preserves continuing service assignment.
44:15|“But the Levitical priests descended from Zadok, who kept charge of my sanctuary when the Israelites strayed from me, may approach me to serve me. They will stand before me to offer fat and blood, declares the Lord GOD.|Keeps Zadokite exception and specific offerings.
44:16|They may enter my sanctuary and approach my table to serve me. They must keep my charge.|Preserves table and sanctuary access.
44:17|When they enter the inner court’s gates, they must wear linen garments. They must wear no wool while serving at the inner court’s gates or inside the temple.|Keeps clothing rule and service locations.
44:18|They must wear linen turbans on their heads and linen undergarments around their waists. They must not bind themselves with anything that causes sweat.|Preserves specific garments and sweat restriction.
44:19|When they go out to the outer court—to the outer court where the people are—they must remove their service garments and leave them in the holy chambers. They must put on other clothes, so they do not transmit holiness to the people through their garments.|Retains repeated court and transferable holiness concept.
44:20|They must neither shave their heads nor let their hair grow long. They must keep their hair trimmed.|Keeps both prohibited extremes and positive duty.
44:21|No priest may drink wine when entering the inner court.|Preserves limited setting of prohibition.
44:22|They must not marry a widow or a divorced woman, but only a virgin of Israelite descent. They may, however, marry the widow of a priest.|Keeps gender-specific rule and explicit exception.
44:23|They must teach my people to distinguish the holy from the common and make known the difference between unclean and clean.|Preserves two distinctions without conflating them.
44:24|In a dispute they must serve as judges and decide it according to my judgments. They must keep my instructions and statutes at all my appointed festivals and keep my Sabbaths holy.|Retains judging, festivals and Sabbath duties.
44:25|A priest must not approach a dead person and become unclean, except for a father, mother, son, daughter, brother, or a sister who has not married.|Preserves full family exception list.
44:26|After his cleansing, seven days must be counted for him.|Keeps additional seven-day interval.
44:27|On the day he enters the holy place, the inner court, to serve there, he must offer his sin offering, declares the Lord GOD.|Retains reentry offering and stated space.
44:28|“This will be their inheritance: I am their inheritance. Give them no landed possession in Israel; I am their possession.|Keeps repeated divine inheritance/possession contrast.
44:29|They may eat the grain offering, sin offering, and guilt offering. Everything irrevocably devoted in Israel will belong to them.|Preserves the three offerings and the binding herem dedication; the priestly assignment here does not itself require destruction.
44:30|The first of all firstfruits and every contribution you offer will belong to the priests. Give the priest the first portion of your dough, so a blessing may rest on your house.|Keeps firstfruits, contributions and dough distinct.
44:31|The priests must not eat any bird or animal that died naturally or was torn by beasts.|Preserves both death categories and animal groups.
45:1|“When you allot the land as an inheritance, set apart a holy contribution for the LORD, twenty-five thousand long and ten thousand wide. The entire area within its boundaries will be holy.|Retains unsupplied unit and pinned ten thousand.
45:2|Within it, the sanctuary will occupy a square five hundred by five hundred, with fifty cubits of open land around it.|Keeps sanctuary square and explicit cubit margin.
45:3|From this measured area mark off a length of twenty-five thousand and a width of ten thousand. Within it will be the sanctuary, the Most Holy Place.|Preserves repeated dimensions and holiness.
45:4|This holy portion of the land will belong to the priests who serve in the sanctuary, who approach the LORD to serve him. It will provide space for their houses and a holy place for the sanctuary.|Keeps priestly service and housing distinct.
45:5|A portion twenty-five thousand long and ten thousand wide will belong to the Levites who serve in the temple, as their possession, with twenty chambers.|Retains pinned twenty chambers rather than cities.
45:6|Give the city a possession five thousand wide and twenty-five thousand long, alongside the holy contribution. It will belong to the whole house of Israel.|Keeps city dimensions and common ownership.
45:7|The prince will have land on both sides of the holy contribution and the city’s possession, alongside them, extending westward on the west and eastward on the east. Its length will match one tribal portion, from the western boundary to the eastern boundary.|Preserves extent without adding diagram assumptions.
45:8|This land will be his possession in Israel. My princes will no longer oppress my people but will leave the land to the house of Israel according to their tribes.|Keeps restriction tied to allotted possession.
45:9|“This is what the Lord GOD says: Enough, princes of Israel! Put away violence and plunder. Do what is just and right. Stop driving my people from their property, declares the Lord GOD.|Preserves dispossession prohibition and both titles.
45:10|Use honest scales, an honest ephah, and an honest bath.|Keeps three parallel standards.
45:11|The ephah and the bath must have the same capacity: the bath one-tenth of a homer and the ephah one-tenth of a homer. The homer will be their standard.|Preserves equal dry/liquid capacities and repeated tenths.
45:12|The shekel will be twenty gerahs. Twenty shekels, twenty-five shekels, and fifteen shekels will make your mina.|Retains unusual additive sixty-shekel specification.
45:13|“This is the contribution you must offer: one-sixth of an ephah from each homer of wheat and one-sixth of an ephah from each homer of barley.|Keeps separate grain dues and exact fractions.
45:14|The prescribed portion of oil, measured by the bath, is one-tenth of a bath from each cor. Ten baths make a homer, for a homer is ten baths.|Retains cor/homer relationship and repeated equivalence.
45:15|Take one sheep from every two hundred from Israel’s well-watered pastures. These will provide grain offerings, burnt offerings, and peace offerings to make atonement for them, declares the Lord GOD.|Keeps livestock rate and three offering categories.
45:16|All the people of the land must give this contribution to the prince in Israel.|Preserves collective contribution and recipient.
45:17|The prince will be responsible for the burnt offerings, grain offerings, and drink offerings at the feasts, new moons, Sabbaths, and all the house of Israel’s appointed festivals. He must provide the sin offering, grain offering, burnt offering, and peace offerings to make atonement for the house of Israel.|Preserves complete repeated offering and occasion lists.
45:18|“This is what the Lord GOD says: On the first day of the first month, take an unblemished young bull and purify the sanctuary.|Keeps date and animal requirement.
45:19|The priest must take some blood from the sin offering and put it on the temple’s doorpost, the four corners of the altar’s ledge, and the doorpost of the inner court’s gate.|Keeps three blood-application sites.
45:20|Do the same on the seventh day of the month for anyone who sins unintentionally or unknowingly. In this way you will make atonement for the temple.|Retains pinned seventh day rather than seventh month.
45:21|On the fourteenth day of the first month, observe the Passover, a festival lasting seven days. Unleavened bread must be eaten.|Keeps Passover date and contextual week duration.
45:22|On that day the prince must provide a bull as a sin offering for himself and all the people of the land.|Preserves ruler's inclusion among beneficiaries.
45:23|For each of the festival’s seven days he must provide a burnt offering to the LORD: seven unblemished bulls and seven unblemished rams each day, and a male goat each day as a sin offering.|Keeps seven-by-seven daily schedule.
45:24|He must provide a grain offering of an ephah for each bull and an ephah for each ram, with a hin of oil for each ephah.|Preserves per-animal and per-volume ratios.
45:25|At the festival beginning on the fifteenth day of the seventh month, he must provide the same for seven days: sin offerings, burnt offerings, grain offerings, and oil.|Retains second festival without supplying absent name.
46:1|“This is what the Lord GOD says: The east-facing gate of the inner court must remain shut during the six working days. It must be opened on the Sabbath and on the new moon.|Distinguishes inner gate from permanently shut outer gate.
46:2|The prince must enter from outside through the gate’s vestibule and stand beside the gatepost. The priests will offer his burnt offering and peace offerings. He must bow at the threshold and then leave, but the gate must remain open until evening.|Keeps priest/prince roles and gate timing.
46:3|On Sabbaths and new moons the people of the land must bow before the LORD at that gate’s entrance.|Preserves people's place and occasions.
46:4|The burnt offering the prince presents to the LORD on the Sabbath must be six unblemished lambs and one unblemished ram.|Keeps six/one and separate blemish requirements.
46:5|The grain offering will be an ephah for the ram, and for the lambs whatever he gives, with a hin of oil for each ephah.|Preserves discretionary lamb amount.
46:6|On the new moon he must offer an unblemished young bull, six lambs, and a ram; they must be unblemished.|Keeps all animals and repeated qualification.
46:7|He must provide an ephah as a grain offering for the bull and an ephah for the ram. For the lambs he may give as much as he can, with a hin of oil for each ephah.|Retains ability-based provision and oil ratio.
46:8|When the prince enters, he must come through the gate’s vestibule and leave the same way.|Keeps ruler's prescribed route.
46:9|When the people of the land come before the LORD at the appointed festivals, whoever enters by the north gate to worship must leave by the south gate, and whoever enters by the south must leave by the north. No one may return by the gate they entered; they must leave by the opposite gate.|Preserves both reciprocal routes and prohibition.
46:10|The prince will be among them, entering when they enter; when they leave, they will go out together.|Keeps final plural rather than flattening it.
46:11|At the feasts and appointed festivals, the grain offering will be an ephah for each bull and an ephah for each ram, and for the lambs whatever he gives, with a hin of oil for each ephah.|Preserves repeated festival ratios.
46:12|When the prince makes a freewill offering to the LORD, a burnt offering or peace offerings, the east-facing gate must be opened for him. He will offer his burnt offering and peace offerings as on the Sabbath. Then he must leave, and the gate must be shut after him.|Keeps voluntary occasion and different closing time.
46:13|“Provide an unblemished year-old lamb each day as a burnt offering to the LORD. Offer it morning by morning.|Preserves age and repeated daily timing.
46:14|With it, morning by morning, provide a grain offering: one-sixth of an ephah and one-third of a hin of oil to moisten the fine flour. This is a grain offering to the LORD, a lasting statute, continually.|Keeps exact unequal fractions and enduring obligation.
46:15|They must offer the lamb, grain offering, and oil morning by morning as a continual burnt offering.|Follows read-form they and full offering list.
46:16|“This is what the Lord GOD says: If the prince gives a gift from his inheritance to one of his sons, it will belong to his sons as their inherited possession.|Preserves male heirs and permanent gift.
46:17|But if he gives a gift from his inheritance to one of his servants, it will belong to that servant until the year of release, then return to the prince. His inheritance belongs permanently to his sons.|Keeps temporary servant gift distinct from heirs'.
46:18|The prince must not take any of the people’s inheritance, forcing them from their possessions. He must give his sons an inheritance from his own possession, so none of my people is scattered from their property.”|Preserves anti-dispossession rule and its purpose.
46:19|He brought me through the entrance beside the gate into the priests’ holy chambers facing north. At their far western end was a place|Keeps route and western location across label.
46:20|where, he told me, “The priests will boil the guilt offering and sin offering and bake the grain offering, so they do not carry them into the outer court and transmit holiness to the people.”|Preserves three preparations and holiness restriction.
46:21|He led me out into the outer court and around its four corners. In each corner was another court.|Keeps four nested courts.
46:22|These four corner courts were enclosed, each forty long and thirty wide. All four had the same dimensions.|Retains forty/thirty and uncertain enclosed term.
46:23|A row of masonry ran around each of the four, with cooking hearths built beneath the rows all around.|Preserves repeated surrounding hearth arrangement.
46:24|He told me, “These are the kitchens where the temple’s servants will boil the people’s sacrifices.”|Distinguishes people's kitchens from priestly chambers.
47:1|He brought me back to the temple entrance. Water was flowing east from beneath its threshold, for the temple faced east. The water flowed down from beneath the temple’s right side, south of the altar.|Keeps three directional relationships.
47:2|He led me out through the north gate and around outside to the outer gate facing east. Water was trickling from its right side.|Preserves indirect route and small initial flow.
47:3|The man went east with a measuring cord in his hand. He measured a thousand cubits and led me through ankle-deep water.|Keeps first measured stage and depth.
47:4|He measured another thousand and led me through knee-deep water. He measured another thousand and led me through waist-deep water.|Preserves two separate stages.
47:5|He measured another thousand. Now it was a river I could not cross, for the water had risen, deep enough to swim in, a river that could not be crossed.|Keeps fourth stage and repeated inability.
47:6|He asked me, “Have you seen this, son of man?” Then he led me back to the riverbank.|Retains observation question and return.
47:7|When I returned, I saw very many trees along both banks of the river.|Keeps abundance and both banks.
47:8|He told me, “This water flows into the eastern region and down into the Arabah. When it enters the sea, the sea’s waters are healed.|Retains healing word and geography without silently naming sea.
47:9|Every living creature that swarms wherever the streams go will live. There will be very many fish, because this water comes there and heals the waters. Everything will live wherever the river goes.|Preserves living/healing repetition and plural streams.
47:10|Fishermen will stand along it. From En-gedi to En-eglaim there will be places for spreading nets. Its fish will be of many kinds, as numerous as the fish of the Great Sea.|Keeps named range and species comparison.
47:11|But its marshes and pools will not be healed; they will be left for salt.|Retains exception to healing.
47:12|Every kind of food tree will grow along both riverbanks. Their leaves will not wither, and their fruit will not fail. They will bear fresh fruit each month because their water comes from the sanctuary. Their fruit will be for food and their leaves for healing.”|Keeps monthly fruit, sanctuary source and leaf purpose.
47:13|This is what the Lord GOD says: “These are the boundaries by which you must divide the land as an inheritance among Israel’s twelve tribes. Joseph will have two portions.|Preserves twelve with Joseph's plural portions explained.
47:14|You must inherit equal shares. I raised my hand in an oath to give this land to your ancestors, and it will fall to you as an inheritance.|Keeps equality and oath gesture.
47:15|“This is the land’s boundary: on the north, from the Great Sea along the road to Hethlon, toward Zedad,|Retains geographic continuation across labels.
47:16|Hamath, Berothah, and Sibraim, which lies between the territories of Damascus and Hamath, and Hazer-hatticon on the border of Hauran.|Keeps full place list and relational borders.
47:17|The boundary will run from the sea to Hazar-enon, along the northern border of Damascus, with Hamath’s territory to the north. This is the northern side.|Retains uncertain northern syntax without moving names.
47:18|“On the east, between Hauran and Damascus, and between Gilead and Israel’s land, the Jordan forms the boundary. Measure from the boundary down to the eastern sea. This is the eastern side.|Keeps pinned measure rather than Tamar variant.
47:19|“On the south, the boundary runs from Tamar to the waters of Meribath-kadesh, then along the Wadi to the Great Sea. This is the southern side.|Retains named water dispute and unnamed Wadi.
47:20|“On the west, the Great Sea is the boundary, up to a point opposite Lebo-hamath. This is the western side.|Keeps sea boundary and northern endpoint.
47:21|“Divide this land among yourselves according to Israel’s tribes.|Retains tribal distribution command.
47:22|Allot it as an inheritance for yourselves and for the resident foreigners among you who have children among you. You must treat them like native-born Israelites; they will receive an inheritance with you among Israel’s tribes.|Preserves resident foreigners' inclusion and specified family condition.
